date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20211017,22,1,1,4,29,埼玉県,L級1班,,10.5,捲くり,,B,4,1,15069,細田　愛未
20211017,22,1,2,1,24,三重県,L級1班,１／２車身,10.3,マーク,,,1,1,15586,太田　瑛美
20211017,22,1,3,6,23,福岡県,L級1班,３／４車身,10.4,,S,,6,1,15577,本多　　優
20211017,22,1,4,2,24,神奈川県,L級1班,３／４車身,10.4,,,,2,1,15488,中村　美那
20211017,22,1,5,3,25,福島県,L級1班,１／８車輪,10.4,,,,3,1,15394,三森　彩桜
20211017,22,1,6,5,,,,大差,11.6,,,,5,1,,矢野　光世
20211017,22,2,1,2,32,山口県,L級1班,,10.2,逃げ,,B,1,1,14974,山原さくら
20211017,22,2,2,4,25,福島県,L級1班,３／４車身,10.2,マーク,S,,5,1,15402,鈴木　樹里
20211017,22,2,3,5,30,茨城県,L級1班,３／４車輪,9.9,,,,2,1,15135,荒川ひかり
20211017,22,2,4,1,27,三重県,L級1班,１／４車輪,10.1,,,,4,1,15310,川嶋　百香
20211017,22,2,5,7,25,群馬県,L級1班,２　　車身,10.1,,,,6,1,15396,神澤　瑛菜
20211017,22,2,6,3,,,,３／４車身,10.0,,,,3,1,,宮本　杏夏
20211017,22,2,7,6,28,長崎県,L級1班,２　　車身,10.3,,,,7,1,15407,出口　倫子
20211017,22,3,1,3,35,岐阜県,S級1班,,9.7,差し,,,3,2,14700,川口公太朗
20211017,22,3,2,4,38,福島県,S級2班,１　　車身,10.1,差し,S,,1,2,14574,佐伯　　翔
20211017,22,3,3,1,39,福島県,A級1班,１　　車輪,10.2,,,B,1,1,14136,金澤　竜二
20211017,22,3,4,2,,,,１　　車身,9.8,,,,3,3,,萩原　　操
20211017,22,3,5,5,44,富山県,A級1班,３　　車身,10.3,,,,3,1,14090,竹澤　浩司
20211017,22,3,6,6,37,神奈川県,A級2班,大差,11.4,,,,2,1,14300,上野　真吾
20211017,22,4,1,1,53,福岡県,A級1班,,10.2,差し,,,1,2,12478,加倉　正義
20211017,22,4,2,4,29,静岡県,S級1班,１／８車輪,10.1,捲くり,,,2,1,15051,簗田　一輝
20211017,22,4,3,3,43,愛媛県,A級2班,１　　車輪,10.3,,,B,1,1,13970,三好　陽一
20211017,22,4,4,2,48,静岡県,S級2班,３／４車輪,10.1,,S,,2,2,13115,望月　永悟
20211017,22,4,5,5,54,富山県,A級2班,１／８車輪,10.2,,,,1,3,12598,大庭　正紀
20211017,22,4,6,6,53,神奈川県,A級3班,３　　車身,10.1,,,,2,3,12436,渡邊　秀明
20211017,22,5,1,3,42,静岡県,A級1班,,9.7,捲くり,,,2,1,14527,飯田　憲司
20211017,22,5,2,4,38,静岡県,A級1班,１／２車輪,9.6,マーク,,,2,2,14528,落合　達彦
20211017,22,5,3,5,39,北海道,A級2班,２　　車身,9.7,,,,3,1,14123,中村敏之輔
20211017,22,5,4,1,45,群馬県,S級2班,３／４車身,9.8,,,,1,1,13618,櫻井　　学
20211017,22,5,5,2,47,青森県,S級2班,２　　車身,9.9,,S,,1,2,13748,佐々木省司
20211017,22,5,6,6,32,岡山県,A級1班,５　　車身,10.8,,,B,4,1,14952,多田　晃紀
20211017,22,6,1,1,30,神奈川県,S級1班,,9.9,逃げ,,B,1,1,15436,青野　将大
20211017,22,6,2,5,,,,１　　車身,9.9,マーク,,,1,2,,勝瀬　卓也
20211017,22,6,3,8,44,群馬県,A級2班,３／４車身,9.8,,,,2,2,13760,矢口啓一郎
20211017,22,6,4,2,37,岡山県,S級1班,１／２車身,9.7,,,,2,1,15040,隅田　洋介
20211017,22,6,5,3,32,大阪府,S級2班,１／２車身,9.7,,,,3,1,15106,大石　崇晴
20211017,22,6,6,7,46,富山県,A級1班,１／２車輪,9.6,,,,3,2,13483,宮越　孝治
20211017,22,6,7,9,39,長崎県,S級2班,１／２車身,9.5,,,,4,2,14211,佐藤　幸治
20211017,22,6,8,6,49,群馬県,S級2班,１　　車身,9.7,,,,2,3,13400,稲村　好将
20211017,22,6,9,4,28,長崎県,S級2班,３／４車輪,9.7,,S,,4,1,15211,平尾　一晃
20211017,22,7,1,1,52,兵庫県,S級2班,,10.1,差し,,,1,2,12533,澤田　義和
20211017,22,7,2,9,37,岐阜県,S級2班,１／２車身,10.1,マーク,,,1,3,14246,森川　大輔
20211017,22,7,3,5,46,北海道,A級1班,１／２車輪,9.6,,,,3,3,13669,荒澤　貴史
20211017,22,7,4,8,31,宮崎県,S級2班,１　　車身,9.8,,,,3,2,14929,小酒　大勇
20211017,22,7,5,6,25,佐賀県,S級2班,１／８車輪,10.4,,,B,1,1,15473,青柳　靖起
20211017,22,7,6,7,43,神奈川県,S級2班,１／４車輪,9.9,,,,2,3,14017,大塚　　玲
20211017,22,7,7,3,32,青森県,S級2班,２　　車身,10.1,,,,3,1,14982,坂本　周作
20211017,22,7,8,2,42,神奈川県,S級1班,１／２車輪,10.2,,S,,2,2,13945,福田　知也
20211017,22,7,9,4,42,千葉県,S級2班,大差,11.3,,,,2,1,14298,蒔田　英彦
20211017,22,8,1,1,51,茨城県,S級1班,,9.7,捲くり,,,1,2,13923,武田　豊樹
20211017,22,8,2,7,,,,３／４車身,9.7,マーク,,,1,3,,稲村　成浩
20211017,22,8,3,5,25,茨城県,S級2班,３／４車輪,9.8,,,,1,1,15336,小畑　勝広
20211017,22,8,4,8,33,岡山県,S級2班,３／４車輪,10.2,,,B,3,1,14879,月森　亮輔
20211017,22,8,5,9,46,福岡県,S級2班,１／２車輪,10.1,,,,2,2,13514,山口　貴嗣
20211017,22,8,6,2,51,静岡県,S級2班,１／２車身,10.0,,,,2,3,12826,渡邉　晴智
20211017,22,8,7,3,44,徳島県,S級2班,２　　車身,10.3,,,,3,2,13803,三ツ石康洋
20211017,22,8,8,6,44,千葉県,A級1班,３／４車身,10.2,,,,3,3,14819,太刀川一成
20211017,22,8,9,4,39,佐賀県,S級2班,大差,11.7,,,,2,1,14339,成松　春樹
20211017,22,9,1,3,44,福岡県,S級1班,,9.5,捲くり,,,1,2,13808,坂本健太郎
20211017,22,9,2,8,40,群馬県,S級2班,１／２車身,9.9,差し,,,2,2,14143,天田　裕輝
20211017,22,9,3,2,29,群馬県,S級1班,３／４車身,10.0,,,B,2,1,15343,佐々木悠葵
20211017,22,9,4,7,38,栃木県,S級1班,１／４車輪,9.8,,,,2,3,14140,神山　拓弥
20211017,22,9,5,5,25,熊本県,S級1班,１　　車身,9.8,,,,1,1,15480,松本秀之介
20211017,22,9,6,9,34,青森県,S級1班,３／４車輪,9.9,,S,,3,2,14640,新山　将史
20211017,22,9,7,1,39,徳島県,S級1班,１　　車身,9.8,,,,1,3,14190,木村　隆弘
20211017,22,9,8,6,41,宮城県,S級2班,１車身１／２,9.9,,,,3,3,13990,荻原　尚人
20211017,22,9,9,4,39,秋田県,S級2班,大差,10.6,,,,3,1,14571,根本　哲吏
20211017,22,10,1,5,40,茨城県,S級1班,,9.7,捲くり,,,2,2,14860,吉澤　純平
20211017,22,10,2,1,47,群馬県,S級2班,３／４車身,9.7,マーク,,,2,3,13240,小林　大介
20211017,22,10,3,3,43,香川県,A級1班,１／２車身,9.6,,S,,1,2,14104,池田　憲昭
20211017,22,10,4,4,40,福岡県,A級1班,３　　車身,9.8,,,,3,1,14194,桑原　　亮
20211017,22,10,5,9,50,香川県,S級2班,１車身１／２,9.7,,,,1,3,13060,児玉慎一郎
20211017,22,10,6,8,43,神奈川県,S級2班,１　　車輪,10.0,,,,5,1,14465,村上　直久
20211017,22,10,7,6,43,兵庫県,S級2班,１／２車身,9.8,,,,4,1,14031,筒井　裕哉
20211017,22,10,8,7,25,東京都,S級2班,１車身１／２,10.4,,,,2,1,15347,武田　　亮
20211017,22,10,9,2,29,愛媛県,S級1班,３／４車身,10.6,,,B,1,1,15125,佐々木　豪
20211017,22,11,1,4,25,静岡県,L級1班,,10.2,逃げ,S,B,4,1,15400,久米　　詩
20211017,22,11,2,5,31,福岡県,L級1班,１／４車輪,10.0,捲くり,,,5,1,15032,小林　優香
20211017,22,11,3,7,35,神奈川県,L級1班,１／２車身,10.2,,,,6,1,14959,奈良岡彩子
20211017,22,11,4,1,30,静岡県,L級1班,１／２車輪,10.0,,,,1,1,15220,鈴木　美教
20211017,22,11,5,2,30,熊本県,L級1班,１　　車身,10.1,,,,3,1,15504,西島　叶子
20211017,22,11,6,3,28,大阪府,L級1班,３／４車輪,10.3,,,,2,1,15137,土屋　珠里
20211017,22,11,7,6,33,千葉県,L級1班,３／４車身,10.0,,,,7,1,15142,蓑田　真璃
20211017,22,12,1,1,41,埼玉県,S級1班,,9.4,捲くり,,,1,1,14152,宿口　陽一
20211017,22,12,2,3,26,岐阜県,S級1班,１／２車身,9.6,捲くり,,,5,1,15268,山田　　諒
20211017,22,12,3,9,36,埼玉県,S級1班,３／４車輪,9.3,,,,1,2,14370,阿部　大樹
20211017,22,12,4,5,37,徳島県,S級1班,１／２車身,9.5,,,,5,2,14553,久米　　良
20211017,22,12,5,7,34,埼玉県,S級1班,１／２車輪,9.3,,S,,1,3,14659,武藤　龍生
20211017,22,12,6,8,46,岡山県,S級2班,３／４車身,9.5,,,,5,3,13495,友定　祐己
20211017,22,12,7,4,41,福岡県,S級2班,３／４車身,9.1,,,,3,1,14041,田中　　誠
20211017,22,12,8,2,52,宮城県,S級2班,１　　車輪,9.4,,,,2,1,13306,齋藤登志信
20211017,22,12,9,6,42,大阪府,A級1班,大差,11.0,,,B,4,1,14096,伊藤　成紀
20211017,25,1,1,3,43,青森県,A級3班,,15.3,差し,,,2,1,14124,石田　宏樹
20211017,25,1,2,5,34,埼玉県,A級1班,３／４車身,15.6,逃げ,,B,1,1,14731,山崎　輝夫
20211017,25,1,3,2,43,静岡県,A級2班,３／４車身,15.2,,S,,2,3,13857,浅沼　聖士
20211017,25,1,4,4,47,宮城県,A級3班,１　　車身,15.5,,,,2,2,13526,三澤　勝成
20211017,25,1,5,1,52,埼玉県,A級2班,３　　車身,15.8,,,,1,2,12646,大澤　裕之
20211017,25,2,1,4,36,千葉県,A級1班,,14.5,捲くり,,B,1,1,14591,本多　哲也
20211017,25,2,2,1,48,神奈川県,A級1班,微差,14.3,マーク,S,,1,2,13253,柴田功一郎
20211017,25,2,3,6,41,神奈川県,A級2班,１車身１／２,14.4,,,,1,3,14743,鈴木　広人
20211017,25,2,4,3,,,,５　　車身,15.2,,,,2,2,,廣瀬　裕道
20211017,25,2,5,5,61,埼玉県,A級3班,１　　車輪,15.0,,,,2,3,10615,高橋　京治
20211017,25,2,6,2,39,群馬県,A級2班,５　　車身,15.8,,,,2,1,14064,吉松　賢二
20211017,25,3,1,4,44,東京都,S級2班,,15.0,差し,S,,1,2,14372,内田　玄希
20211017,25,3,2,5,39,茨城県,A級1班,１／２車身,15.0,マーク,,,3,1,14364,野間　　司
20211017,25,3,3,7,47,栃木県,A級3班,微差,14.6,,,,2,1,13397,鈴木龍之介
20211017,25,3,4,1,40,埼玉県,A級1班,３／４車輪,15.2,,,B,1,1,15042,高橋　泰裕
20211017,25,3,5,2,43,宮城県,A級2班,１／２車身,14.9,,,,4,2,13988,阿部　英光
20211017,25,3,6,3,39,茨城県,A級1班,１／２車輪,14.8,,,,3,2,14057,松田　優一
20211017,25,3,7,6,48,北海道,A級2班,３／４車輪,15.0,,,,4,1,14425,前川　裕希
20211017,25,4,1,4,50,茨城県,A級3班,,15.1,差し,,,4,2,13610,土屋　　仁
20211017,25,4,2,2,24,栃木県,A級1班,１／２車輪,15.3,逃げ,,B,4,1,15424,中村　隆生
20211017,25,4,3,7,37,北海道,A級2班,３／４車身,15.1,,,,1,1,14570,松澤　敬輔
20211017,25,4,4,6,53,北海道,A級2班,１車身１／２,15.0,,,,2,1,12930,浦崎　貴史
20211017,25,4,5,1,48,福島県,A級2班,３／４車身,15.2,,S,,1,2,13235,榊枝　輝文
20211017,25,4,6,5,49,埼玉県,A級2班,１／４車輪,15.3,,,,4,3,13175,峠　　祐介
20211017,25,4,7,3,41,神奈川県,A級2班,１車身１／２,15.4,,,,3,1,14383,河野　　要
20211017,25,5,1,7,44,新潟県,L級1班,,15.8,逃げ,S,B,4,1,14905,加瀬加奈子
20211017,25,5,2,4,27,埼玉県,L級1班,３／４車身,15.8,マーク,,,1,1,15485,青木　美保
20211017,25,5,3,2,33,青森県,L級1班,２　　車身,16.0,,,,3,1,14925,大和久保美
20211017,25,5,4,1,,,,１／２車身,16.1,,,,2,1,,関口　美穂
20211017,25,5,5,3,30,東京都,L級1班,１　　車輪,16.0,,,,5,1,15140,鈴木　彩夏
20211017,25,5,6,5,44,新潟県,L級1班,３／４車輪,15.8,,,,6,1,14908,藤原亜衣里
20211017,25,5,7,6,,,,１／２車身,15.8,,,,7,1,,白井美早子
20211017,25,6,1,5,,,,,14.9,差し,,,3,2,,棟方　次郎
20211017,25,6,2,2,26,青森県,A級1班,３／４車身,15.1,逃げ,,B,3,1,15323,小原丈一郎
20211017,25,6,3,4,46,福島県,S級2班,３／４車輪,14.9,,,,3,3,13533,佐藤愼太郎
20211017,25,6,4,3,40,茨城県,A級1班,１／４車輪,14.7,,,,1,1,14053,鈴木謙太郎
20211017,25,6,5,1,48,茨城県,A級2班,３／４車身,14.6,,S,,1,2,13308,木村　貴宏
20211017,25,6,6,6,45,埼玉県,A級2班,３　　車身,15.1,,,,2,1,13933,藤田　竜矢
20211017,25,7,1,4,46,神奈川県,A級1班,,14.9,差し,,,2,2,13855,近藤　俊明
20211017,25,7,2,2,34,神奈川県,A級1班,１／８車輪,15.0,差し,S,,2,1,14822,関根健太郎
20211017,25,7,3,7,46,青森県,S級2班,１／２車輪,14.6,,,,1,2,13670,小橋　秀幸
20211017,25,7,4,3,38,埼玉県,A級1班,１／２車身,15.3,,,B,3,1,14864,土屋　壮登
20211017,25,7,5,5,38,神奈川県,A級2班,３／４車身,14.9,,,,2,3,14242,亀谷　隆一
20211017,25,7,6,1,,,,３　　車身,15.1,,,,1,1,,佐藤　佑一
20211017,25,7,7,6,49,埼玉県,A級2班,大差,17.1,,,,3,2,12955,太田　真一
20211017,25,8,1,1,41,静岡県,S級2班,,14.7,差し,,,1,3,14466,二藤　元太
20211017,25,8,2,4,29,福島県,S級1班,３／４車輪,15.3,逃げ,,B,2,1,15086,酒井　雄多
20211017,25,8,3,3,29,山梨県,S級2班,微差,14.5,,,,3,2,15092,小林　　令
20211017,25,8,4,6,33,東京都,A級1班,１／４車輪,14.6,,,,3,1,15165,寺沼　将彦
20211017,25,8,5,5,43,千葉県,S級2班,６　　車身,15.7,,,,1,1,13850,山賀　雅仁
20211017,25,8,落,2,48,福島県,S級2班,,,,,,2,2,13829,青森　伸也
20211017,25,8,失,7,51,千葉県,A級1班,,,,,,1,2,12813,成清　貴之
20211017,25,9,1,1,39,埼玉県,S級2班,,14.6,捲くり,,,1,2,14066,池田　勇人
20211017,25,9,2,6,39,新潟県,S級2班,１　　車身,14.5,マーク,,,1,3,14157,原田　泰志
20211017,25,9,3,5,51,千葉県,A級1班,１／２車身,15.0,,,,3,3,12960,水書　義弘
20211017,25,9,4,2,42,神奈川県,S級2班,１／２車輪,15.2,,S,,3,2,14302,武田　憲祐
20211017,25,9,5,7,42,神奈川県,S級1班,１／４車輪,15.3,,,B,3,1,14020,松坂　洋平
20211017,25,9,6,3,46,宮城県,S級2班,１　　車身,15.1,,,,2,1,13604,庄子　信弘
20211017,25,9,7,4,30,東京都,S級2班,２　　車身,15.5,,,,1,1,15252,河合　佑弥
20211017,25,10,1,4,35,千葉県,A級1班,,15.4,差し,,,2,3,14740,須藤　　悟
20211017,25,10,2,1,40,埼玉県,S級2班,１　　車輪,15.3,マーク,,,3,2,14068,吉田　裕全
