date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20210928,11,1,1,1,38,青森県,A級1班,,12.2,差し,,,2,2,14204,大崎　和也
20210928,11,1,2,2,46,兵庫県,A級2班,３／４車身,12.1,差し,,,3,2,13645,川木　敬大
20210928,11,1,3,5,40,新潟県,A級2班,３／４車輪,12.2,,,,1,2,14589,西巻　秀太
20210928,11,1,4,3,40,茨城県,A級1班,３／４車身,12.5,,S,,1,1,14220,山崎　　悟
20210928,11,1,5,7,39,石川県,A級2班,２　　車身,12.3,,,,3,1,14474,山崎　　晃
20210928,11,1,6,4,32,宮城県,A級1班,１　　車輪,12.7,,,B,2,1,14985,竹山　慶太
20210928,11,1,7,6,48,福島県,A級3班,４　　車身,12.8,,,,2,3,13676,塚本　　諭
20210928,11,2,1,3,41,福島県,A級2班,,11.5,捲くり,,,3,1,14438,緑川　修平
20210928,11,2,2,5,44,秋田県,S級2班,２　　車身,11.6,マーク,,,3,2,13996,丸山　貴秀
20210928,11,2,3,4,47,三重県,A級2班,６　　車身,12.3,,,,1,2,13271,鮒田　博文
20210928,11,2,4,1,53,千葉県,A級2班,３／４車身,12.3,,,,2,1,12432,石井　　孝
20210928,11,2,5,6,,,,３／４車身,12.3,,,,2,2,,鈴木　秀明
20210928,11,2,6,2,34,三重県,A級2班,４　　車身,13.1,,S,B,1,1,15360,勝谷　勝治
20210928,11,2,7,7,,,,大差,13.1,,,,3,3,,小原　伸哉
20210928,11,3,1,5,49,愛知県,A級1班,,11.8,差し,,,2,1,12971,小川　将人
20210928,11,3,2,1,44,三重県,S級2班,１／２車身,11.7,マーク,,,1,1,13864,伊藤　世哉
20210928,11,3,3,7,44,群馬県,A級3班,１　　車輪,12.0,,,,4,3,13839,若林　耕司
20210928,11,3,4,3,48,福島県,A級2班,１／２車輪,11.6,,,,3,2,13235,榊枝　輝文
20210928,11,3,5,2,42,埼玉県,A級2班,１／４車輪,12.1,,,,4,2,13932,井上　雄三
20210928,11,3,6,4,26,茨城県,A級1班,１／２車輪,12.3,,,B,4,1,15339,土田　武志
20210928,11,3,7,6,26,北海道,A級2班,３　　車身,12.0,,S,,3,1,15414,大森　光明
20210928,11,4,1,2,39,静岡県,A級1班,,11.9,差し,,,3,2,14530,栗田　雄矢
20210928,11,4,2,4,47,群馬県,A級3班,１／２車輪,12.1,差し,,,1,3,13548,手島　志誠
20210928,11,4,3,1,58,東京都,S級2班,１／２車輪,12.2,,,,1,2,11477,川口　満宏
20210928,11,4,4,7,28,栃木県,A級1班,３／４車身,12.4,,S,B,1,1,15423,上川　直紀
20210928,11,4,5,3,46,奈良県,A級1班,１／４車輪,11.9,,,,2,1,13792,辰己　　豊
20210928,11,4,6,6,49,奈良県,A級3班,５　　車身,12.3,,,,2,2,13206,岡崎　和久
20210928,11,4,7,5,40,神奈川県,A級3班,大差,14.3,,,,3,1,14463,久保　将史
20210928,11,5,1,1,35,福岡県,S級2班,,12.5,逃げ,S,B,2,1,15052,渡邉　豪大
20210928,11,5,2,4,36,千葉県,A級1班,３／４車身,12.4,マーク,,,2,2,14455,小野　裕次
20210928,11,5,3,6,37,福井県,S級2班,３　　車身,11.9,,,,1,2,14475,高間　悠平
20210928,11,5,4,7,45,神奈川県,A級2班,３／４車身,11.9,,,,2,3,14669,植木　和広
20210928,11,5,5,3,40,埼玉県,S級2班,１／４車輪,11.7,,,,3,2,14068,吉田　裕全
20210928,11,5,6,2,41,富山県,S級2班,１／２車身,12.2,,,,1,1,14248,吉川　起也
20210928,11,5,7,5,35,長野県,S級2班,１車身１／２,12.0,,,,3,1,15256,中嶋　宣成
20210928,11,6,1,2,39,秋田県,S級2班,,11.9,逃げ,,B,3,1,14571,根本　哲吏
20210928,11,6,2,5,38,福島県,S級2班,１／２車身,11.9,マーク,,,3,2,14574,佐伯　　翔
20210928,11,6,3,6,26,東京都,S級2班,１／２車輪,11.8,,S,,1,1,15346,鈴木　　薫
20210928,11,6,4,4,29,静岡県,S級1班,１　　車輪,11.9,,,,2,1,15051,簗田　一輝
