date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20210502,11,1,1,4,40,埼玉県,A級2班,,12.4,逃げ,,B,1,1,14226,大畑　裕貴
20210502,11,1,2,2,56,東京都,A級2班,１／４車輪,12.3,マーク,,,1,2,11993,深井　高志
20210502,11,1,3,1,48,福島県,A級3班,１　　車身,12.4,,S,,1,3,13676,塚本　　諭
20210502,11,1,4,5,48,愛知県,A級2班,１／２車身,12.4,,,,2,1,13575,渡会　啓介
20210502,11,1,5,3,,,,大差,13.4,,,,1,4,,三谷　幸宏
20210502,11,2,1,4,,,,,12.5,差し,,,1,2,,小林　　覚
20210502,11,2,2,3,47,滋賀県,A級2班,１　　車輪,12.7,逃げ,S,B,1,1,13485,善利　裕生
20210502,11,2,3,5,45,山梨県,A級3班,１　　車輪,12.5,,,,2,2,14735,今村　俊雄
20210502,11,2,4,2,,,,３／４車身,12.5,,,,1,3,,篠田　宗克
20210502,11,2,5,1,56,埼玉県,A級3班,４　　車身,12.7,,,,3,1,11990,茂木　和臣
20210502,11,2,6,6,,,,９　　車身,13.7,,,,2,1,,渋川　聡士
20210502,11,3,1,3,44,愛知県,A級1班,,12.4,差し,,,3,2,13862,鈴木　伸之
20210502,11,3,2,4,39,石川県,A級2班,１／４車輪,12.5,捲くり,,,3,1,14474,山崎　　晃
20210502,11,3,3,5,43,北海道,A級1班,１　　車身,12.6,,S,,1,2,13980,森田　康嗣
20210502,11,3,4,2,50,宮城県,A級1班,３／４車身,12.2,,,,2,1,13233,小松　剛之
20210502,11,3,5,1,37,秋田県,A級1班,１／４車輪,12.8,,,B,1,1,14797,佐々木吉徳
20210502,11,3,6,6,40,大阪府,A級3班,８　　車身,13.0,,,,4,1,14760,岡嶋　　登
20210502,11,3,7,7,53,北海道,A級2班,６　　車身,14.0,,,,1,3,12930,浦崎　貴史
20210502,11,4,1,4,30,大阪府,S級2班,,12.4,差し,,,1,1,15115,堀　　僚介
20210502,11,4,2,7,38,宮城県,S級2班,３／４車輪,12.8,差し,,,3,2,14646,三浦　雄大
20210502,11,4,3,1,30,神奈川県,S級1班,３／４車身,12.9,,S,B,3,1,15439,佐々木眞也
20210502,11,4,4,5,43,岩手県,A級2班,１／２車身,12.7,,,,3,3,13749,及川　裕奨
20210502,11,4,5,2,50,福井県,A級1班,１／２車身,12.5,,,,1,2,13201,北川　紋部
20210502,11,4,6,6,47,三重県,A級2班,３／４車身,12.4,,,,1,3,13784,太田　雅之
20210502,11,4,7,3,41,新潟県,A級3班,タイヤ差,12.3,,,,2,1,14295,山崎　寛巳
20210502,11,5,1,1,38,埼玉県,A級1班,,11.7,捲くり,S,,1,1,14864,土屋　壮登
20210502,11,5,2,4,40,埼玉県,S級2班,１／２車身,11.6,マーク,,,1,2,14147,柿沼　信也
20210502,11,5,3,3,30,静岡県,S級2班,４　　車身,12.2,,,B,2,1,15173,格清　洋介
20210502,11,5,4,6,29,神奈川県,A級1班,１車身１／２,12.1,,,,4,1,15234,八嶋　稔真
20210502,11,5,5,7,49,静岡県,A級2班,１　　車身,12.1,,,,2,2,12970,山内　大作
20210502,11,5,6,5,38,千葉県,A級1班,５　　車身,12.1,,,,3,1,14459,根藤　浩二
20210502,11,5,7,2,44,福島県,A級2班,６　　車身,12.9,,,,4,2,13914,小谷田公則
20210502,11,6,1,1,39,宮城県,S級2班,,11.7,差し,,,2,1,14130,竹山　陵太
20210502,11,6,2,6,32,栃木県,S級2班,１　　車身,12.2,逃げ,,B,1,1,14861,金子　幸央
20210502,11,6,3,4,56,神奈川県,A級1班,３／４車輪,11.6,,,,2,3,11800,三住　博昭
20210502,11,6,4,5,43,宮城県,S級2班,１／４車輪,11.8,,,,2,2,13827,佐藤　雅彦
20210502,11,6,5,2,49,三重県,A級1班,１／４車輪,12.1,,,,1,3,13197,鈴木　幸紀
20210502,11,6,6,3,48,茨城県,A級2班,１／４車輪,12.2,,S,,1,2,13308,木村　貴宏
