date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20240506,23,1,1,7,36,福島県,A級2班,,12.1,逃げ,,B,1,1,15241,山田　祐太
20240506,23,1,2,1,32,宮城県,A級1班,１／４車輪,11.7,マーク,S,,1,2,15084,菅田　謙仁
20240506,23,1,3,5,24,熊本県,A級2班,３／４車身,11.6,,,,2,1,15567,北川　大成
20240506,23,1,4,3,48,滋賀県,A級1班,１／４車輪,11.3,,,,3,3,13641,竹内　一暢
20240506,23,1,5,2,32,熊本県,A級2班,１／２車身,11.6,,,,2,2,15214,境　　啓亨
20240506,23,1,6,6,47,滋賀県,A級2班,１車身１／２,11.6,,,,3,2,13485,善利　裕生
20240506,23,1,7,4,25,愛知県,A級1班,２　　車身,12.0,,,,3,1,15533,岩城　佑典
20240506,23,2,1,4,46,佐賀県,A級1班,,11.5,差し,,,2,2,13447,坂本　晃輝
20240506,23,2,2,2,22,熊本県,A級1班,１／２車輪,11.6,捲くり,,B,2,1,15662,中山遼太郎
20240506,23,2,3,1,42,山梨県,A級2班,３　　車身,11.7,,S,,1,1,14153,伊藤　太一
20240506,23,2,4,3,40,千葉県,A級2班,１／８車輪,11.8,,,,3,2,14738,櫻川　雅彦
20240506,23,2,5,5,40,新潟県,A級2班,１車身１／２,11.7,,,,1,2,14589,西巻　秀太
20240506,23,2,6,6,44,長崎県,A級3班,８　　車身,12.6,,,,2,3,13895,松尾　大樹
20240506,23,2,7,7,50,静岡県,A級2班,１／２車輪,12.8,,,,3,1,12883,大沼　孝行
20240506,23,3,1,2,32,愛媛県,A級2班,,11.8,差し,S,,3,2,15126,高山　雄丞
20240506,23,3,2,5,31,秋田県,A級1班,３／４車輪,11.7,マーク,,,2,1,15157,高橋　大輝
20240506,23,3,3,3,48,埼玉県,A級1班,１／２車身,11.6,,,,4,2,13556,山信田　学
20240506,23,3,4,4,28,岡山県,A級1班,微差,12.0,,,B,3,1,15639,松下　綾馬
20240506,23,3,5,7,36,埼玉県,S級2班,３／４車輪,11.8,,,,4,1,14450,金子　哲大
20240506,23,3,6,1,34,三重県,A級2班,２　　車身,12.0,,,,1,1,15360,勝谷　勝治
20240506,23,3,7,6,53,愛知県,A級3班,大差,16.0,,,,1,2,12593,山田　圭二
20240506,23,4,1,5,27,千葉県,A級1班,,12.2,逃げ,,B,1,1,15615,荒川　　仁
20240506,23,4,2,1,37,静岡県,A級1班,１　　車輪,12.1,マーク,S,,1,2,14532,柴田　竜史
20240506,23,4,3,4,50,茨城県,A級3班,３／４車輪,12.1,,,,1,3,13610,土屋　　仁
20240506,23,4,4,7,55,広島県,A級2班,１車身１／２,11.9,,,,3,2,12130,石田　洋秀
20240506,23,4,5,3,27,岡山県,A級2班,１／４車輪,12.0,,,,3,1,15371,田上　晃也
20240506,23,4,6,2,48,大阪府,A級2班,１／４車輪,12.0,,,,2,2,13285,吉川　　悟
20240506,23,4,7,6,38,大阪府,A級3班,大差,13.2,,,,2,1,14948,斎藤　　敦
20240506,23,5,1,5,51,千葉県,A級1班,,11.8,差し,,,3,2,12813,成清　貴之
20240506,23,5,2,3,36,神奈川県,A級1班,１／２車身,11.7,マーク,,,3,3,14867,巴　　直也
20240506,23,5,3,1,45,広島県,S級2班,１／２車輪,12.0,,S,B,1,1,13650,吉本　哲郎
20240506,23,5,4,2,38,宮城県,S級2班,１／２車身,11.6,,,,2,1,14646,三浦　雄大
20240506,23,5,5,4,45,高知県,S級2班,１車身１／２,11.8,,,,1,3,13890,藤原　　浩
20240506,23,5,6,6,41,富山県,S級2班,タイヤ差,12.1,,,,3,1,14248,吉川　起也
20240506,23,5,7,7,44,高知県,S級2班,１／２車身,11.6,,,,1,2,14109,吉松　直人
20240506,23,6,1,2,26,埼玉県,L級1班,,12.4,差し,,,3,1,15305,野本　怜菜
20240506,23,6,2,1,44,大阪府,L級1班,タイヤ差,12.7,逃げ,S,B,1,1,15313,豊岡　英子
20240506,23,6,3,3,24,佐賀県,L級1班,１／２車身,12.4,,,,5,1,15503,田中　月菜
20240506,23,6,4,4,26,静岡県,L級1班,１／８車輪,12.7,,,,7,1,15674,野寺　　楓
20240506,23,6,5,6,22,茨城県,L級1班,３／４車身,12.7,,,,4,1,15667,戸田　瑞姫
20240506,23,6,6,7,25,山口県,L級1班,１／２車輪,12.7,,,,6,1,15498,國村美留莉
20240506,23,6,7,5,,,,１車身１／２,12.5,,,,2,1,,鈴木　咲香
20240506,23,7,1,1,25,埼玉県,L級1班,,11.8,捲くり,,B,2,1,15398,藤田まりあ
20240506,23,7,2,4,26,福岡県,L級1班,４　　車身,12.0,捲くり,,,3,1,15501,尾方　真生
20240506,23,7,3,5,21,岐阜県,L級1班,２　　車身,12.0,,,,1,1,15764,宇野　紅音
20240506,23,7,4,2,22,熊本県,L級1班,２　　車身,12.4,,S,,5,1,15776,高本　美穂
20240506,23,7,5,6,25,北海道,L級1班,５　　車身,12.7,,,,4,1,15573,蛯原　杏奈
20240506,23,7,6,7,24,三重県,L級1班,２　　車身,12.8,,,,7,1,15494,近澤　諒香
20240506,23,7,落,3,29,広島県,L級1班,,,,,,6,1,15771,藤高　千恵
20240506,23,8,1,7,40,岡山県,S級2班,,11.3,捲くり,,,2,2,14613,黒田　　淳
20240506,23,8,2,3,51,静岡県,S級2班,１／２車輪,11.6,差し,,,3,2,12826,渡邉　晴智
20240506,23,8,3,5,23,福島県,S級2班,３／４車身,11.8,,,,3,1,15595,邊見　光輝
20240506,23,8,4,1,26,福井県,S級2班,１／４車輪,12.0,,,B,1,1,15629,岸田　　剛
20240506,23,8,5,2,33,岡山県,S級2班,１／８車輪,11.5,,,,2,1,14879,月森　亮輔
20240506,23,8,6,4,39,福井県,S級2班,２　　車身,11.6,,,,1,2,14249,鷲田　幸司
20240506,23,8,7,6,49,愛知県,A級1班,１車身１／２,11.6,,,,1,3,12971,小川　将人
20240506,23,9,1,5,46,栃木県,S級2班,,11.5,差し,,,1,2,13679,真崎新太郎
20240506,23,9,2,1,26,茨城県,A級1班,１／２車輪,11.7,逃げ,S,B,1,1,15420,梁島　邦友
20240506,23,9,3,4,44,千葉県,S級2班,１／２車身,11.5,,,,2,1,13766,武井　大介
20240506,23,9,4,3,35,高知県,S級2班,４　　車身,11.2,,,,4,2,15124,山本　拳也
20240506,23,9,5,2,45,秋田県,S級2班,２　　車身,11.7,,,,3,1,13993,佐藤　朋也
20240506,23,9,6,7,41,北海道,A級1班,１／２車身,11.7,,,,3,2,13901,山田　敦也
20240506,23,9,7,6,27,愛媛県,S級2班,３／４車身,11.7,,,,4,1,15554,近藤　翔馬
20240506,23,10,1,7,26,富山県,S級2班,,11.6,捲くり,,,4,1,15628,村田　祐樹
20240506,23,10,2,3,45,大阪府,S級1班,１　　車身,11.5,マーク,,,4,2,13961,松村　友和
20240506,23,10,3,5,31,長崎県,S級2班,２　　車身,11.8,,,,2,2,15067,瀬戸　晋作
20240506,23,10,4,1,42,静岡県,A級1班,１／２車身,11.6,,,,1,1,14527,飯田　憲司
20240506,23,10,5,2,27,宮崎県,S級2班,１　　車輪,12.0,,S,B,2,1,15572,田村　　大
20240506,23,10,6,4,50,千葉県,S級2班,２　　車身,11.8,,,,1,2,12811,江守　　昇
20240506,23,10,7,6,51,埼玉県,S級2班,４　　車身,12.0,,,,3,1,13405,宮下　貴之
20240506,23,11,1,3,25,和歌山県,S級2班,,11.4,捲くり,,,3,1,15366,張野　幸聖
20240506,23,11,2,1,26,東京都,S級1班,１／２車輪,11.7,逃げ,S,B,1,1,15349,寺沼　拓摩
20240506,23,11,3,5,46,埼玉県,S級2班,１　　車輪,11.7,,,,1,2,13762,吉田　勇人
20240506,23,11,4,7,35,熊本県,S級2班,３／４車身,11.5,,,,3,2,14633,田中　陽平
20240506,23,11,5,4,41,茨城県,S級2班,１／２車輪,11.7,,,,1,3,14286,関　　貴之
20240506,23,11,6,2,34,高知県,S級2班,１車身１／２,11.6,,,,2,1,14775,小原　周祐
20240506,23,11,7,6,35,岡山県,A級1班,９　　車身,12.4,,,,2,2,14843,峰重祐之介
20240506,23,12,1,2,24,長野県,S級1班,,11.3,逃げ,S,B,3,1,15412,菊池　岳仁
20240506,23,12,2,6,33,栃木県,S級2班,１／２車身,11.3,マーク,,,3,2,14806,岡田　泰地
20240506,23,12,3,3,41,大阪府,S級1班,１／４車輪,11.0,,,,2,1,14253,伊藤　　信
20240506,23,12,4,4,29,福岡県,S級1班,１／４車輪,11.0,,,,1,1,15129,林　　大悟
20240506,23,12,5,5,39,神奈川県,S級1班,１／２車身,11.2,,,,4,2,14935,嶋津　拓弥
20240506,23,12,6,1,47,大分県,S級1班,１　　車身,10.9,,,,1,2,13519,大塚健一郎
20240506,23,12,7,7,27,和歌山県,S級1班,１／４車輪,11.2,,,,4,1,15186,南　　　潤
20240506,27,1,1,1,25,静岡県,A級2班,,12.1,逃げ,S,B,1,1,15709,神尾　敬冬
20240506,27,1,2,3,45,福島県,A級3班,４　　車身,12.4,差し,,,1,3,13830,田崎良太郎
20240506,27,1,3,7,53,香川県,A級3班,３／４車輪,12.5,,,,3,1,12472,大山　泰伸
20240506,27,1,4,6,52,北海道,A級3班,３／４車身,12.3,,,,1,4,12783,平澤　秀信
20240506,27,1,5,4,44,福岡県,A級3班,３／４車輪,12.5,,,,2,1,14490,永田　隼一
20240506,27,1,6,5,48,静岡県,A級3班,１　　車身,12.7,,,,1,2,13324,市川　博章
20240506,27,1,7,2,46,徳島県,A級3班,３／４車身,12.5,,,,2,2,13964,高田　大輔
20240506,27,1,7,2,35,岡山県,A級2班,３／４車身,12.5,,,,2,2,14693,高田　大輔
20240506,27,2,1,2,26,宮崎県,A級2班,,11.8,逃げ,,B,1,1,15753,枝村　弘樹
20240506,27,2,2,4,28,新潟県,A級3班,３　　車身,11.7,捲くり,,,2,1,15523,邊見　祐太
20240506,27,2,3,1,52,宮城県,A級3班,３　　車身,12.1,,S,,1,3,12858,亀井　宏佳
20240506,27,2,4,7,55,熊本県,A級3班,１車身１／２,12.4,,,,1,2,12154,西島　貢司
20240506,27,2,5,5,40,神奈川県,A級3班,１／４車輪,12.1,,,,3,1,14936,渡辺福太郎
20240506,27,2,6,3,57,栃木県,A級3班,１／４車輪,11.8,,,,2,2,11574,坂本　英一
20240506,27,2,7,6,,,,大差,13.1,,,,2,3,,飯島　　亮
20240506,27,3,1,3,25,埼玉県,A級2班,,13.2,逃げ,,B,1,1,15698,佐藤譲士郎
20240506,27,3,2,1,46,岡山県,A級3班,３／４車身,12.9,差し,,,3,1,13492,坂本　智哉
20240506,27,3,3,6,47,北海道,A級3班,３／４車身,12.9,,,,4,2,13378,小田桐義継
20240506,27,3,4,5,47,福岡県,A級2班,１車身１／２,13.0,,,,2,1,14416,矢田　　晋
20240506,27,3,5,4,41,群馬県,A級3班,２　　車身,13.2,,,,1,3,14154,長岡　　豪
20240506,27,3,6,7,51,東京都,A級3班,１車身１／２,13.7,,,,1,2,13244,小林　高志
20240506,27,3,7,2,37,静岡県,A級3班,大差,14.6,,S,,4,1,14868,小林　寛弥
20240506,27,4,1,4,26,兵庫県,A級2班,,12.7,逃げ,S,B,1,1,15724,村上　翔馬
20240506,27,4,2,2,53,京都府,A級2班,１／２車身,12.6,マーク,,,1,2,12602,吉村　文隆
20240506,27,4,3,6,35,奈良県,A級3班,１　　車身,12.6,,,,1,3,15270,元砂　海人
20240506,27,4,4,3,45,徳島県,A級3班,５　　車身,12.3,,,,3,2,13588,齋藤　　仁
20240506,27,4,5,7,41,広島県,A級2班,３／４車輪,12.5,,,,3,1,14183,隅田　幸助
20240506,27,4,6,5,50,栃木県,A級3班,３　　車身,13.1,,,,2,2,12862,松岡　慶彦
20240506,27,4,7,1,36,東京都,A級3班,１　　車輪,13.0,,,,2,1,14662,櫻井　宏樹
20240506,27,5,1,5,21,熊本県,A級2班,,12.2,逃げ,,B,1,1,15749,佐藤　壮志
20240506,27,5,2,3,28,和歌山県,A級3班,２　　車身,12.0,捲くり,S,,3,1,15111,布居　　翼
20240506,27,5,3,2,31,福島県,A級3班,３　　車身,12.1,,,,2,1,15087,本馬　　鎌
20240506,27,5,4,7,52,青森県,A級3班,１車身１／２,12.0,,,,2,2,13303,須々田大昇
20240506,27,5,5,1,49,福岡県,A級3班,３／４車身,12.4,,,,1,2,13513,南　　和夫
20240506,27,5,6,6,,,,２　　車身,11.8,,,,3,3,,川西　貴之
20240506,27,5,7,4,,,,１車身１／２,12.1,,,,3,2,,児玉　利文
20240506,27,6,1,1,27,静岡県,L級1班,,12.5,捲くり,,B,2,1,15221,吉村早耶香
20240506,27,6,2,7,24,大分県,L級1班,１車身１／２,12.5,マーク,,,3,1,15684,安東　莉奈
20240506,27,6,3,3,22,三重県,L級1班,３／４車身,12.6,,,,5,1,15765,竹野　百香
20240506,27,6,4,5,24,大阪府,L級1班,１／２車身,12.3,,,,6,1,15588,吉田りんご
20240506,27,6,5,4,28,東京都,L級1班,１／２車身,12.5,,S,,1,1,15758,熊谷　碩子
20240506,27,6,6,6,42,神奈川県,L級1班,１　　車身,12.3,,,,7,1,15071,佐藤亜貴子
20240506,27,6,7,2,31,茨城県,L級1班,１車身１／２,12.6,,,,4,1,15757,戸邉香奈実
20240506,27,7,1,7,39,東京都,L級1班,,13.3,捲くり,,,5,1,14963,石井　寛子
20240506,27,7,2,5,22,群馬県,L級1班,２　　車身,13.4,マーク,,,6,1,15669,河内　桜雪
20240506,27,7,3,6,33,愛知県,L級1班,１／２車身,13.4,,,,7,1,15762,高橋美沙紀
20240506,27,7,4,4,22,神奈川県,L級1班,１　　車身,13.9,,,B,3,1,15666,畠山ひすい
20240506,27,7,5,3,23,熊本県,L級1班,１／２車身,13.6,,,,4,1,15593,中村　鈴花
20240506,27,7,6,2,27,千葉県,L級1班,１／８車輪,13.9,,S,,1,1,15760,五味田奈穂
20240506,27,7,7,1,37,愛媛県,L級1班,２　　車身,13.5,,,,2,1,14924,松尾　智佳
20240506,27,8,1,1,25,岡山県,S級2班,,12.2,捲くり,,B,1,1,15729,山根　慶太
20240506,27,8,2,5,46,岡山県,A級1班,１　　車身,12.2,マーク,,,1,2,13491,近藤　範昌
20240506,27,8,3,3,45,愛知県,A級1班,１車身１／２,12.2,,S,,1,3,13716,佐藤　　亙
20240506,27,8,4,6,45,栃木県,A級3班,３　　車身,12.2,,,,3,1,13925,黒田　　篤
20240506,27,8,5,2,54,千葉県,A級2班,大差,13.3,,,,2,2,12431,會田　正一
20240506,27,8,6,4,38,神奈川県,A級2班,３　　車身,14.4,,,,2,1,14866,櫻井　利之
20240506,27,9,1,3,36,栃木県,A級2班,,12.5,差し,,,3,2,14578,大越　啓介
20240506,27,9,2,4,46,兵庫県,A級2班,１／４車輪,12.2,差し,,,2,2,13799,真田　　晃
20240506,27,9,3,2,50,徳島県,A級2班,３／４車身,12.4,,,,1,2,12844,米澤　大輔
20240506,27,9,4,5,46,青森県,A級2班,１　　車身,12.6,,,,1,1,13668,佐々木孝司
20240506,27,9,5,7,48,和歌山県,A級2班,３／４車輪,12.3,,,,2,3,13794,川西　亮介
20240506,27,9,6,1,33,三重県,A級1班,２　　車身,12.8,,S,,2,1,15265,井田　晶之
20240506,27,9,7,6,35,埼玉県,A級2班,１　　車輪,13.1,,,B,3,1,14697,相川　　巧
20240506,27,10,1,4,40,京都府,A級1班,,12.3,差し,,,3,2,14030,藤木　　裕
20240506,27,10,2,5,43,大分県,A級2班,１　　車輪,12.8,差し,,,2,2,13817,吉川　裕二
20240506,27,10,3,2,27,大分県,A級1班,１／４車輪,12.9,,S,B,2,1,15658,長松　大祐
20240506,27,10,4,3,35,兵庫県,A級1班,３／４車輪,12.4,,,,3,1,14951,後藤　祐貴
20240506,27,10,5,1,40,東京都,A級2班,１／８車輪,12.6,,,,1,2,14373,鈴木雄一朗
20240506,27,10,6,7,41,東京都,A級2班,タイヤ差,12.7,,,,1,1,14366,阿久津浩之
20240506,27,10,7,6,54,愛媛県,A級3班,１車身１／２,12.4,,,,2,3,12618,武智　尚之
20240506,27,11,1,5,41,東京都,A級1班,,11.8,差し,,,1,2,14233,西村　行貴
20240506,27,11,2,2,23,東京都,A級1班,１／４車輪,12.0,逃げ,S,B,1,1,15610,永井　哉多
20240506,27,11,3,3,38,京都府,A級2班,１車身１／２,11.8,,,,3,1,14316,山崎　光展
20240506,27,11,4,7,55,岐阜県,A級2班,３／４車身,11.7,,,,3,2,12112,冨岡　健一
20240506,27,11,5,1,39,熊本県,A級2班,１／２車身,11.6,,,,2,1,14274,吉成　晃一
20240506,27,11,6,4,38,広島県,A級3班,４　　車身,11.8,,,,4,1,14844,三登　誉哲
20240506,27,11,7,6,59,岡山県,A級3班,大差,13.0,,,,4,2,11301,長谷　俊昭
20240506,27,12,1,5,24,愛媛県,S級2班,,12.2,逃げ,,B,2,1,15646,塩崎　隼秀
20240506,27,12,2,2,41,愛媛県,S級2班,１　　車身,12.1,マーク,,,2,2,14331,栗田　貴徳
20240506,27,12,3,7,41,佐賀県,A級1班,１／２車身,12.1,,,,2,3,14340,古川　貴之
20240506,27,12,4,6,42,静岡県,A級1班,３／４車身,12.0,,S,,1,2,13947,石橋慎太郎
20240506,27,12,5,3,43,愛知県,A級1班,１／２車身,12.0,,,,3,1,14305,大谷　靖茂
20240506,27,12,6,4,49,愛知県,A級1班,１　　車身,11.9,,,,3,2,14747,猪俣　康一
20240506,27,12,7,1,36,千葉県,S級2班,６　　車身,12.8,,,,1,1,14460,矢口　大樹
20240506,35,1,1,2,47,群馬県,A級3班,,12.2,差し,,,1,3,13548,手島　志誠
20240506,35,1,2,4,38,青森県,A級2班,１　　車輪,12.4,差し,S,,1,2,14278,白川　将太
20240506,35,1,3,1,35,宮城県,A級1班,１／４車輪,12.5,,,B,1,1,14984,會澤　　龍
20240506,35,1,4,7,39,栃木県,A級3班,１／４車輪,12.0,,,,3,1,14808,村上　貴彦
20240506,35,1,5,6,45,静岡県,A級3班,１／４車輪,12.1,,,,2,2,13713,丸山　勝也
20240506,35,1,6,5,52,群馬県,A級3班,３／４車輪,12.1,,,,1,4,12498,赤石　　聡
20240506,35,1,7,3,47,静岡県,A級2班,２　　車身,12.5,,,,2,1,13710,榎本　光男
20240506,35,2,1,2,49,静岡県,A級2班,,11.9,差し,,,2,2,13192,平田　　徹
20240506,35,2,2,4,26,静岡県,A級2班,１／２車輪,12.0,逃げ,S,B,2,1,15712,松本　京太
20240506,35,2,3,3,51,千葉県,A級2班,３／４車輪,11.9,,,,2,3,13106,赤井　　学
20240506,35,2,4,7,52,茨城県,A級2班,１車身１／２,11.9,,,,2,4,13013,武田　靖夫
20240506,35,2,5,6,43,埼玉県,A級3班,１　　車輪,11.7,,,,1,3,14067,工藤　考生
20240506,35,2,6,1,49,埼玉県,A級2班,１車身１／２,12.0,,,,1,2,13553,小島　雅章
20240506,35,2,7,5,41,福島県,A級2班,５　　車身,12.6,,,,1,1,14438,緑川　修平
20240506,35,3,1,2,36,千葉県,A級1班,,11.8,捲くり,,,1,1,15107,田頭　寛之
20240506,35,3,2,1,37,神奈川県,A級2班,３／４車身,11.8,マーク,S,,1,2,14300,上野　真吾
20240506,35,3,3,3,51,神奈川県,A級2班,３／４車身,11.7,,,,1,3,12882,鈴木　愼二
20240506,35,3,4,7,48,栃木県,A級3班,１車身１／２,11.7,,,,1,4,13398,関　　　敬
20240506,35,3,5,4,38,茨城県,A級2班,３／４車輪,11.9,,,,2,1,14365,薮田　貴幸
20240506,35,3,6,6,27,宮城県,A級3班,２　　車身,12.4,,,B,3,1,15155,三浦　大輝
20240506,35,3,7,5,38,宮城県,A級3班,１車身１／２,12.4,,,,3,2,14432,相澤　恵一
20240506,35,4,1,3,28,神奈川県,A級1班,,12.0,逃げ,S,B,1,1,15618,高本　和也
20240506,35,4,2,1,34,神奈川県,A級1班,１／４車輪,11.9,マーク,,,1,2,15171,出澤　拓也
20240506,35,4,3,6,51,神奈川県,A級2班,１車身１／２,11.9,,,,1,3,12879,石井　　毅
20240506,35,4,4,2,42,秋田県,A級1班,１／２車輪,11.8,,,,2,1,13910,高橋　秀吉
20240506,35,4,5,4,48,埼玉県,A級1班,３／４車輪,11.7,,,,3,2,13172,金子周一郎
20240506,35,4,6,5,44,群馬県,A級2班,３／４車身,11.6,,,,3,3,13929,宮内　善光
20240506,35,4,7,7,49,東京都,A級2班,大差,,,,,3,1,13461,市川　健太
20240506,35,5,1,1,47,東京都,A級1班,,11.4,差し,S,,1,2,13275,渡辺　航平
20240506,35,5,2,3,34,埼玉県,A級2班,１／４車輪,11.5,捲くり,,,1,1,14658,馬場　和広
20240506,35,5,3,5,46,神奈川県,A級2班,１／４車輪,11.7,,,B,2,1,13854,川田　　忍
20240506,35,5,4,2,43,千葉県,A級1班,１車身１／２,11.4,,,,2,2,14456,亀井　久幸
20240506,35,5,5,4,52,千葉県,A級1班,１　　車身,11.4,,,,2,3,12875,中曽　直彦
20240506,35,5,6,6,33,山梨県,A級1班,５　　車身,11.9,,,,3,2,14813,新井僚太郎
20240506,35,5,7,7,33,長野県,A級2班,１車身１／２,12.2,,,,3,1,15044,平川　雅晃
20240506,35,6,1,6,43,宮城県,A級1班,,11.6,捲くり,,,1,1,14280,井上　公利
20240506,35,6,2,3,45,青森県,A級1班,３　　車身,11.8,差し,,,1,3,13601,工藤　政志
20240506,35,6,3,2,45,栃木県,A級1班,タイヤ差,12.0,,,,3,2,13755,佐藤　悦夫
20240506,35,6,4,1,45,福島県,S級2班,３／４車輪,11.9,,S,,1,2,13537,谷津田将吾
20240506,35,6,5,7,28,東京都,A級2班,３／４車身,12.2,,,B,3,1,15255,樋口　開土
20240506,35,6,6,4,41,千葉県,A級2班,微差,11.8,,,,2,1,14083,成清謙二郎
20240506,35,6,7,5,49,静岡県,A級1班,大差,,,,,4,1,13036,深澤　伸介
20240506,35,7,1,1,33,埼玉県,S級2班,,11.4,捲くり,,,1,1,14811,笠松　将太
20240506,35,7,2,7,41,埼玉県,A級1班,１／２車輪,11.3,マーク,S,,1,2,14139,小田倉勇二
20240506,35,7,3,3,44,神奈川県,S級2班,２　　車身,11.6,,,,2,2,14084,小菅　　誠
20240506,35,7,4,2,43,埼玉県,S級2班,３／４車身,11.5,,,,1,3,14009,大澤　雄大
20240506,35,7,5,6,58,東京都,S級2班,１／２車身,11.5,,,,1,4,11477,川口　満宏
20240506,35,7,6,4,45,神奈川県,S級2班,１／２車身,11.7,,,,2,3,13879,伊豆田浩人
20240506,35,7,7,5,27,神奈川県,S級2班,１／２車身,12.0,,,B,2,1,15529,塚本　瑠羽
20240506,36,1,1,1,24,宮城県,A級2班,,10.2,逃げ,S,,1,1,15689,菊地　　圭
20240506,36,1,2,7,26,福岡県,A級2班,３／４車身,10.3,逃げ,,B,2,1,15742,堀越　翔己
20240506,36,1,3,3,49,静岡県,A級3班,タイヤ差,10.0,,,,1,3,13037,町田　勝志
20240506,36,1,4,5,43,宮城県,A級3班,１／２車輪,10.1,,,,1,2,14128,嶋貫　高大
20240506,36,1,5,2,44,熊本県,A級3班,２　　車身,10.1,,,,2,2,14121,服部　克久
20240506,36,1,6,4,,,,３　　車身,10.2,,,,2,3,,川本　隆史
20240506,36,1,7,6,,,,大差,,,,,3,1,,奥森　　敏
20240506,36,2,1,1,25,新潟県,A級2班,,9.9,逃げ,S,B,1,1,15612,小榑　佑弥
20240506,36,2,2,7,38,栃木県,A級3班,１／２車身,9.8,マーク,,,1,2,14287,齋藤　昌太
20240506,36,2,3,4,62,栃木県,A級3班,２　　車身,9.9,,,,1,3,11346,野崎　修一
20240506,36,2,4,3,,,,３／４車輪,9.8,,,,3,1,,松本　昌士
20240506,36,2,5,2,44,熊本県,A級3班,１／２車身,9.6,,,,2,2,14120,永田　修一
20240506,36,2,6,5,21,愛媛県,A級2班,１／２車身,9.7,,,,2,1,15737,火島　裕輝
20240506,36,2,7,6,,,,大差,,,,,2,3,,竹元　太志
20240506,36,3,1,3,24,岡山県,A級2班,,10.1,捲くり,S,,1,1,15726,龍野琳太郎
20240506,36,3,2,4,41,埼玉県,A級2班,３　　車身,10.3,差し,,,2,2,14496,天沼　雅貴
20240506,36,3,3,1,41,福岡県,A級3班,１／２車輪,10.4,,,B,2,1,14449,片折　勇輝
20240506,36,3,4,2,42,愛知県,A級3班,１／２車身,10.1,,,,3,2,14171,深見　仁哉
20240506,36,3,5,5,40,大阪府,A級3班,１　　車身,10.3,,,,3,1,14760,岡嶋　　登
20240506,36,3,6,6,46,埼玉県,A級3班,３／４車身,10.1,,,,2,3,13684,吉橋　秀城
20240506,36,3,7,7,48,愛媛県,A級3班,５　　車身,10.8,,,,1,2,13509,明星　晴道
20240506,36,4,1,1,30,神奈川県,A級2班,,9.9,逃げ,,B,1,1,15707,池邉　　聖
20240506,36,4,2,3,31,熊本県,A級3班,３／４車身,9.9,マーク,S,,2,1,15571,吉田　　悟
