date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos
2025-05-30,44,1,1,1,前田　拓也,12689,51,大阪,71,Ａ３,追,3.86,75.53,3,16,4,7,10,63.33,76.67,0,2,4,13,0,0,大垣,05/30,,,,,佐世保,05/23,予2,準4,抜2,,四日市,05/11,予2,準6,抜1,,関谷君の番手。,3,2
2025-05-30,44,1,2,2,松本　昂大,15843,21,長崎,125,Ａ３,逃,3.85,73.71,7,3,1,6,41.18,58.82,64.71,6,3,1,0,5,9,大垣,05/30,,,,,佐世保,05/23,般1,抜1,,,高知,05/17,予1,準5,抜1,,自力です。,1,1
2025-05-30,44,1,3,3,明星　晴道,13509,48,愛媛,82,Ａ３,追,3.93,68.21,1,3,4,23,3.23,12.9,25.81,0,1,2,1,0,0,大垣,05/30,,,,,佐世保,05/23,予7,般5,般4,,高松,05/15,予3,準5,抜6,,先手ラインから。,2,1
2025-05-30,44,1,4,4,関谷　哲平,14251,42,奈良,92,Ａ３,逃,3.85,70.18,6,4,1,11,27.27,45.45,50,7,2,1,0,2,7,大垣,05/30,,,,,西武園,05/10,,,,,奈良,04/28,予1,準7,般2,,自力です。,3,1
2025-05-30,44,1,5,5,近藤　直幹,12986,51,徳島,75,Ａ３,追,3.92,70.07,4,8,9,21,9.52,28.57,50,1,0,5,6,12,1,大垣,05/30,,,,,大宮,05/24,予3,準7,抜6,,高知,05/17,予5,般1,抜2,,行成君の後ろ。,1,3
2025-05-30,44,1,6,6,田島　高志,13269,47,三重,79,Ａ３,追,3.85,65.97,0,1,6,26,0,3.03,21.21,0,0,0,1,0,0,大垣,05/30,,,,,四日市,05/17,予5,般5,般2,,西武園,05/10,予4,抜5,般3,,近畿勢の後ろ。,3,3
2025-05-30,44,1,6,7,行成　大祐,13358,49,香川,80,Ａ３,追,3.92,71.47,2,8,7,13,6.67,33.33,56.67,0,0,4,6,2,0,大垣,05/30,,,,,川崎,05/23,予4,抜4,般2,,高松,05/15,予2,準2,決7,,松本君の番手。,1,2
2025-05-30,44,2,1,1,山本　宏明,13591,46,徳島,83,Ａ３,追,3.92,71.44,0,5,7,13,0,20,48,0,0,0,5,2,0,大垣,05/30,,,,,豊橋,05/05,予3,準7,抜7,,函館,04/25,予3,準7,抜5,,三登君の番手。,3,2
2025-05-30,44,2,2,2,米丸　俊成,12782,54,熊本,72,Ａ３,追,3.86,69.00,2,2,5,19,7.14,14.29,32.14,0,0,3,1,0,0,大垣,05/30,,,,,川崎,05/23,予6,般1,抜6,,高松,05/15,予5,抜5,般3,,福岡勢の後ろ。,1,3
2025-05-30,44,2,3,3,加藤　昌平,13366,49,福岡,80,Ａ３,追,3.85,71.89,2,6,8,13,6.9,27.59,55.17,0,0,2,6,4,0,大垣,05/30,,,,,高知,05/17,予3,準2,決7,,豊橋,05/05,予2,準6,抜2,,松本君の番手。,1,2
2025-05-30,44,2,4,4,三登　誉哲,14844,38,広島,100,Ａ３,両,3.93,69.24,14,4,0,19,37.84,48.65,48.65,10,5,2,1,0,13,大垣,05/30,,,,,川崎,05/23,予7,般1,抜7,,高松,05/15,予7,般2,般1,,自力自在にいく。,3,1
2025-05-30,44,2,5,5,松本　　定,15842,28,福岡,125,Ａ３,逃,3.93,76.24,9,5,3,6,39.13,60.87,73.91,13,1,0,0,8,19,大垣,05/30,,,,,西武園,05/10,予2,準2,決5,,小倉,05/01,予3,準3,抜5,,自力です。,1,1
2025-05-30,44,2,6,6,田　　典幸,15478,33,熊本,117,Ａ３,逃,3.93,62.52,0,0,0,26,0,0,0,0,0,0,0,0,0,大垣,05/30,,,,,高松,05/15,予7,般5,般5,,伊東,05/04,,,,,単騎でやる。,2,1
2025-05-30,44,2,6,7,眞鍋　伸也,13738,44,香川,85,Ａ３,追,3.92,69.36,0,3,0,14,0,17.65,17.65,0,0,0,3,3,0,大垣,05/30,,,,,佐世保,05/23,般6,般5,,,伊東,05/04,,,,,中四国の三番手。,3,3
2025-05-30,44,3,1,1,瀧川　幸広,15810,29,愛知,125,Ａ３,逃,3.93,76.33,10,8,4,8,33.33,60,73.33,17,0,0,1,11,24,大垣,05/30,,,,,高松,05/15,予1,準3,決4,,川崎,05/05,予1,準4,決2,,自力です。,1,1
2025-05-30,44,3,2,2,五十嵐博一,13299,51,熊本,79,Ａ３,追,3.85,67.67,0,2,6,16,0,8.33,33.33,0,0,1,1,1,0,大垣,05/30,,,,,高松,05/15,予4,抜7,般4,,平塚,05/01,予4,抜3,抜7,,永田君に任せる。,2,2
2025-05-30,44,3,3,3,元砂　海人,15270,35,奈良,113,Ａ３,両,3.92,70.27,0,6,2,7,0,40,53.33,0,0,3,3,1,0,大垣,05/30,,,,,高知,05/17,,,,,奈良,04/28,予2,準5,抜5,,中部勢の後ろ。,1,4
2025-05-30,44,3,4,4,伊藤　嘉浩,13266,48,岐阜,79,Ａ３,両,3.92,67.69,2,2,4,18,7.69,15.38,30.77,0,0,2,2,6,0,大垣,05/30,,,,,奈良,05/11,予5,,,,弥彦,05/01,予7,般5,般6,,愛知勢の後ろ。,1,3
2025-05-30,44,3,5,5,永田　秀佑,14957,33,長崎,103,Ａ３,両,3.92,67.67,4,1,1,15,19.05,23.81,28.57,3,1,0,1,0,4,大垣,05/30,,,,,佐世保,05/23,予1,準2,決7,,西武園,05/10,予7,般6,般6,,自力自在にいく。,2,1
2025-05-30,44,3,6,6,千原　洋晋,13205,48,和歌,78,Ａ３,逃,3.85,65.52,5,2,3,23,15.15,21.21,30.3,5,1,1,0,6,7,大垣,05/30,,,,,松阪,05/20,般6,般6,,,四日市,05/17,般2,般1,,,中近の五番手。,1,5
2025-05-30,44,3,6,7,鰐渕　正利,12208,55,愛知,65,Ａ３,追,3.92,71.84,1,3,6,9,5.26,21.05,52.63,0,0,1,3,2,0,大垣,05/30,,,,,四日市,05/17,予5,般1,抜6,,奈良,05/11,予3,準4,抜4,,瀧川君の番手。,1,2
