date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos
2025-05-29,71,1,1,1,山田　雅之,12742,52,岐阜,72,Ａ１,追,3.93,87.17,4,4,8,14,13.33,26.67,53.33,0,0,7,1,6,0,高松,05/29,,,,,玉野,05/23,予4,抜3,般1,,弥彦,05/01,予2,準5,特4,,江端君。,1,2
2025-05-29,71,1,2,2,佐伯　辰哉,15119,28,広島,109,Ａ２,両,3.92,83.08,3,5,3,16,11.11,29.63,40.74,1,2,1,4,7,5,高松,05/29,,,,,玉野,05/18,予2,準2,決4,,青森,05/07,予1,準3,特1,,自力自在。,2,1
2025-05-29,71,1,3,3,山口　龍也,15212,30,長崎,111,Ａ１,追,3.92,89.20,5,0,3,7,33.33,33.33,53.33,0,0,5,0,1,0,高松,05/29,,,,,大垣,05/08,,,,,佐世保,04/03,予3,準1,決7,,前田さん。,3,2
2025-05-29,71,1,4,4,江端　隆司,14941,32,福井,103,Ａ１,逃,3.92,82.26,2,3,6,16,7.41,18.52,40.74,3,1,1,0,1,14,高松,05/29,,,,,福井,05/02,予7,般3,般2,,松戸,04/22,予1,準7,特6,,自力。,1,1
2025-05-29,71,1,5,5,前田　義和,14422,41,鹿児,94,Ａ１,両,3.92,86.19,9,3,3,16,29.03,38.71,48.39,4,5,2,1,1,12,高松,05/29,,,,,岸和田,05/18,予1,準5,特3,,別府,05/09,般5,般1,,,自力。,3,1
2025-05-29,71,1,6,6,西川　弘資,12287,56,三重,66,Ａ２,追,3.92,79.00,0,3,2,22,0,11.11,18.52,0,0,1,2,0,0,高松,05/29,,,,,四日市,05/17,予5,般2,般6,,別府,05/09,予6,般7,般5,,山田君。,1,3
2025-05-29,71,1,6,7,井上　　剛,13735,45,岡山,85,Ａ１,追,3.92,83.92,3,2,4,16,12,20,36,0,0,3,2,2,0,高松,05/29,,,,,大垣,05/08,予1,準5,特4,,玉野,04/29,予2,準6,特1,,佐伯君。,2,2
2025-05-29,71,2,1,1,安谷屋将志,14566,36,沖縄,96,Ａ１,追,3.92,83.00,1,2,3,13,5.26,15.79,31.58,1,1,1,0,1,2,高松,05/29,,,,,小松島,05/14,予4,抜4,般2,,別府,04/25,予4,,,,田中君。,2,2
2025-05-29,71,2,2,2,土田　栄二,15338,29,茨城,115,Ａ１,逃,3.92,87.46,7,5,1,11,29.17,50,54.17,8,0,2,2,1,16,高松,05/29,,,,,熊本,05/13,予1,準7,般1,,京王閣,05/04,予1,準6,特4,,自力。,3,1
2025-05-29,71,2,3,3,奥谷　広巳,13209,48,兵庫,78,Ａ２,追,3.92,83.78,1,5,2,19,3.7,22.22,29.63,0,0,4,2,3,0,高松,05/29,,,,,松阪,05/20,予3,準4,特4,,弥彦,05/11,予5,般4,般4,,中村君。,1,2
2025-05-29,71,2,4,4,田中　会心,15748,24,熊本,123,Ａ２,逃,3.92,82.26,2,5,2,14,8.7,30.43,39.13,5,0,1,1,0,9,高松,05/29,,,,,玉野,05/18,予7,般2,般5,,岸和田,05/04,予5,般1,特6,,自力。,2,1
2025-05-29,71,2,5,5,石井　　毅,12879,51,神奈,74,Ａ２,追,3.79,81.72,1,3,6,22,3.13,12.5,31.25,0,0,2,2,1,0,高松,05/29,,,,,川崎,05/15,予2,準4,特5,,函館,05/02,予5,般3,般3,,成田君。,3,3
2025-05-29,71,2,6,6,中村　泰輔,15459,32,和歌,117,Ａ２,逃,3.92,81.48,1,0,6,15,4.55,4.55,31.82,0,1,0,0,7,6,高松,05/29,,,,,別府,05/18,予4,抜6,般7,,岸和田,05/09,予3,準5,特6,,自力。,1,1
2025-05-29,71,2,6,7,成田　健児,12965,50,神奈,75,Ａ１,追,3.93,88.63,3,5,5,14,11.11,29.63,48.15,0,0,4,4,0,0,高松,05/29,,,,,伊東,05/17,予2,準4,特4,,別府,05/09,,,,,土田君。,3,2
2025-05-29,71,3,1,1,増田　利明,13423,46,静岡,81,Ａ２,両,3.92,85.00,5,3,3,13,20.83,33.33,45.83,6,2,0,0,5,6,高松,05/29,,,,,いわき平,05/16,予6,般5,般4,,川崎,04/28,予7,般1,特7,,自力自在。,1,1
2025-05-29,71,3,2,2,作田　悦章,14261,42,徳島,92,Ａ２,追,3.92,87.62,4,3,3,11,19.05,33.33,47.62,0,0,5,2,6,0,高松,05/29,,,,,岸和田,05/18,予4,準6,特6,,武雄,05/05,予1,準4,特3,,篠原さん。,2,2
2025-05-29,71,3,3,3,吉成　貴博,14637,37,熊本,97,Ａ２,追,3.83,81.45,2,1,4,22,6.9,10.34,24.14,0,0,3,0,1,0,高松,05/29,,,,,玉野,05/18,予5,般7,般3,,岸和田,05/04,予4,抜6,般6,,四国勢へ。,2,3
2025-05-29,71,3,4,4,黒崎　直行,11341,59,栃木,57,Ａ２,追,3.92,80.21,0,0,6,18,0,0,25,0,0,0,0,3,0,高松,05/29,,,,,青森,05/07,予4,般3,般5,,弥彦,04/25,予3,抜7,般4,,武田君。,1,3
2025-05-29,71,3,5,5,篠原　龍馬,14036,43,高知,89,Ａ１,両,3.92,87.60,7,6,2,15,23.33,43.33,50,8,3,2,0,8,10,高松,05/29,,,,,岸和田,05/09,予1,準6,特5,,熊本,05/02,予1,準2,決6,,前で。,2,1
2025-05-29,71,3,6,6,神開　将暢,12546,52,福岡,69,Ａ２,追,3.92,77.30,0,1,1,21,0,4.35,8.7,0,0,0,1,0,0,高松,05/29,,,,,高知,05/17,予6,般6,般3,,小倉,05/08,般2,,,,前々。,3,1
