date,venue_name,venue_id
20120215,高知,74
20120215,岐阜,43
20120216,いわき平,13
20120216,広島,62
20120216,岐阜,43
20120216,前橋,22
20120216,高知,74
20120217,高知,74
20120217,いわき平,13
20120217,玉野,61
20120217,前橋,22
20120217,広島,62
20120217,岐阜,43
20120218,久留米,83
20120218,玉野,61
20120218,大垣,44
20120219,久留米,83
20120219,玉野,61
20120219,大垣,44
20120219,松山,75
20120220,松山,75
20120220,久留米,83
20120220,大垣,44
20120221,久留米,83
20120221,松山,75
20120222,別府,86
20120222,高知,74
20120223,別府,86
20120223,いわき平,13
20120223,高知,74
20120224,別府,86
20120224,高知,74
20120224,小倉,81
20120224,いわき平,13
20120225,玉野,61
20120225,いわき平,13
20120225,小倉,81
20120226,玉野,61
20120227,玉野,61
20120228,熊本,87
20120229,熊本,87
20120301,熊本,87
20120301,前橋,22
20120302,熊本,87
20120302,広島,62
20120302,前橋,22
20120303,熊本,87
20120303,広島,62
20120304,広島,62
20120304,熊本,87
20120305,観音寺,
20120305,大垣,44
20120306,観音寺,
20120306,大垣,44
20120307,観音寺,
20120307,高知,74
20120307,大垣,44
20120307,武雄,84
20120308,松阪,47
20120308,高知,74
20120308,岐阜,43
20120308,武雄,84
20120309,武雄,84
20120309,高知,74
20120309,岐阜,43
20120309,松阪,47
20120310,松阪,47
20120310,岐阜,43
20120310,いわき平,13
20120310,松山,75
20120311,いわき平,13
20120311,松山,75
20120312,いわき平,13
20120312,松山,75
20120313,松山,75
20120314,防府,63
20120314,小松島,73
20120314,川崎,34
20120314,松阪,47
20120315,防府,63
20120315,前橋,22
20120315,小松島,73
20120315,松阪,47
20120315,武雄,84
20120315,川崎,34
20120316,川崎,34
20120316,小松島,73
20120316,防府,63
20120316,前橋,22
20120316,武雄,84
20120316,松阪,47
20120317,玉野,61
20120317,武雄,84
20120317,大垣,44
20120318,大垣,44
20120318,玉野,61
20120319,玉野,61
20120319,大垣,44
20120320,玉野,61
20120321,広島,62
20120321,小松島,73
20120321,熊本,87
20120321,岐阜,43
20120321,いわき平,13
20120322,小松島,73
20120322,松山,75
20120322,広島,62
20120322,別府,86
20120322,岐阜,43
20120322,いわき平,13
20120322,熊本,87
20120323,熊本,87
20120323,小松島,73
20120323,いわき平,13
20120323,松山,75
20120323,別府,86
20120323,岐阜,43
20120323,広島,62
20120324,別府,86
20120324,名古屋,42
20120324,松山,75
20120325,名古屋,42
20120326,名古屋,42
20120327,名古屋,42
20120328,伊東,37
20120328,防府,63
20120328,川崎,34
20120328,高知,74
20120328,久留米,83
20120328,岐阜,43
20120329,別府,86
20120329,伊東,37
20120329,久留米,83
20120329,高知,74
20120329,川崎,34
20120329,防府,63
20120329,岐阜,43
20120329,福井,51
20120330,久留米,83
20120330,川崎,34
20120330,伊東,37
20120330,岐阜,43
20120330,別府,86
20120330,福井,51
20120330,防府,63
20120330,高知,74
20120331,福井,51
20120331,別府,86
20120403,防府,63
20120403,四日市,48
20120403,福井,51
20120403,奈良,53
20120403,武雄,84
20120403,大垣,44
20120404,福井,51
20120404,武雄,84
20120404,大垣,44
20120404,防府,63
20120404,奈良,53
20120404,四日市,48
20120405,大垣,44
20120405,四日市,48
20120405,前橋,22
20120405,武雄,84
20120405,川崎,34
20120405,福井,51
20120405,奈良,53
20120405,防府,63
20120406,川崎,34
20120406,前橋,22
20120406,四日市,48
20120407,川崎,34
20120407,小倉,81
20120407,前橋,22
20120408,広島,62
20120408,川崎,34
20120408,松阪,47
20120408,小倉,81
20120409,松阪,47
20120409,玉野,61
20120409,小倉,81
20120409,平塚,35
20120409,岸和田,56
20120409,広島,62
20120409,熊本,87
20120410,玉野,61
20120410,松阪,47
20120410,岸和田,56
20120410,広島,62
20120410,熊本,87
20120410,平塚,35
20120410,一宮,
20120411,熊本,87
20120411,玉野,61
20120411,岸和田,56
20120411,平塚,35
20120411,一宮,
20120412,いわき平,13
20120412,高知,74
20120412,一宮,
20120413,静岡,38
20120413,高知,74
20120413,いわき平,13
20120413,小倉,81
20120414,小倉,81
20120414,いわき平,13
20120414,高知,74
20120414,静岡,38
20120415,静岡,38
20120415,高知,74
20120415,岸和田,56
20120416,松山,75
20120416,岸和田,56
20120416,松阪,47
20120416,久留米,83
20120416,防府,63
20120416,一宮,
20120417,松阪,47
20120417,久留米,83
20120417,岸和田,56
20120417,松山,75
20120417,防府,63
20120417,一宮,
20120418,防府,63
20120418,松山,75
20120418,久留米,83
20120418,一宮,
20120418,松阪,47
20120419,平塚,35
20120419,武雄,84
20120419,前橋,22
20120420,平塚,35
20120420,武雄,84
20120420,前橋,22
20120420,函館,11
20120421,武雄,84
20120421,平塚,35
20120421,函館,11
20120422,武雄,84
20120422,函館,11
20120423,岐阜,43
20120423,久留米,83
20120423,松山,75
20120424,広島,62
20120424,松山,75
20120424,別府,86
20120424,和歌山,55
20120424,高知,74
20120424,岐阜,43
20120424,四日市,48
20120424,久留米,83
