date,place
2012-02-04,高知
2012-02-05,高知
2012-02-06,武雄
2012-02-06,大垣
2012-02-07,武雄
2012-02-07,大垣
2012-02-07,小松島
2012-02-08,小松島
2012-02-08,大垣
2012-02-08,松山
2012-02-08,松阪
2012-02-08,武雄
2012-02-09,松山
2012-02-09,松阪
2012-02-09,岐阜
2012-02-09,小松島
2012-02-10,松山
2012-02-10,岐阜
2012-02-10,松阪
2012-02-10,小倉
2012-02-11,高松
2012-02-11,久留米
2012-02-11,小倉
2012-02-11,岐阜
2012-02-12,久留米
2012-02-12,高松
2012-02-13,高松
2012-02-13,久留米
2012-02-14,高松
2012-02-15,広島
2012-02-15,いわき平
2012-02-15,高知
2012-02-15,岐阜
2012-02-16,いわき平
2012-02-16,広島
2012-02-16,岐阜
2012-02-16,前橋
2012-02-16,高知
2012-02-17,高知
2012-02-17,いわき平
2012-02-17,玉野
2012-02-17,前橋
2012-02-17,広島
2012-02-17,岐阜
2012-02-18,久留米
2012-02-18,玉野
2012-02-18,大垣
2012-02-19,久留米
2012-02-19,玉野
2012-02-19,大垣
2012-02-19,松山
2012-02-20,松山
2012-02-20,久留米
2012-02-20,大垣
2012-02-21,久留米
2012-02-21,松山
2012-02-22,別府
2012-02-22,高知
2012-02-23,別府
2012-02-23,いわき平
2012-02-23,高知
2012-02-24,別府
2012-02-24,高知
2012-02-24,小倉
2012-02-24,いわき平
2012-02-25,玉野
2012-02-25,いわき平
2012-02-25,小倉
2012-02-26,玉野
2012-02-27,玉野
2012-02-28,熊本
2012-02-29,熊本
2012-03-01,熊本
2012-03-01,前橋
2012-03-02,熊本
2012-03-02,広島
2012-03-02,前橋
2012-03-03,熊本
2012-03-03,広島
2012-03-04,広島
2012-03-04,熊本
2012-03-05,観音寺
2012-03-05,大垣
2012-03-06,観音寺
2012-03-06,大垣
2012-03-07,観音寺
2012-03-07,高知
2012-03-07,大垣
2012-03-07,武雄
2012-03-08,松阪
2012-03-08,高知
2012-03-08,岐阜
2012-03-08,武雄
2012-03-09,武雄
2012-03-09,高知
2012-03-09,岐阜
2012-03-09,松阪
2012-03-10,松阪
2012-03-10,岐阜
2012-03-10,いわき平
2012-03-10,松山
2012-03-11,いわき平
2012-03-11,松山
2012-03-12,いわき平
2012-03-12,松山
2012-03-13,松山
2012-03-14,防府
2012-03-14,小松島
2012-03-14,川崎
2012-03-14,松阪
2012-03-15,防府
2012-03-15,前橋
2012-03-15,小松島
2012-03-15,松阪
2012-03-15,武雄
2012-03-15,川崎
2012-03-16,川崎
2012-03-16,小松島
2012-03-16,防府
2012-03-16,前橋
2012-03-16,武雄
2012-03-16,松阪
2012-03-17,玉野
2012-03-17,武雄
2012-03-17,大垣
2012-03-18,大垣
2012-03-18,玉野
2012-03-19,玉野
2012-03-19,大垣
2012-03-20,玉野
2012-03-21,広島
2012-03-21,小松島
2012-03-21,熊本
2012-03-21,岐阜
2012-03-21,いわき平
2012-03-22,小松島
2012-03-22,松山
2012-03-22,広島
2012-03-22,別府
2012-03-22,岐阜
2012-03-22,いわき平
2012-03-22,熊本
2012-03-23,熊本
2012-03-23,小松島
2012-03-23,いわき平
2012-03-23,松山
2012-03-23,別府
2012-03-23,岐阜
2012-03-23,広島
2012-03-24,別府
2012-03-24,名古屋
2012-03-24,松山
2012-03-25,名古屋
2012-03-26,名古屋
2012-03-27,名古屋
2012-03-28,伊東
2012-03-28,防府
2012-03-28,川崎
2012-03-28,高知
2012-03-28,久留米
2012-03-28,岐阜
2012-03-29,別府
2012-03-29,伊東
2012-03-29,久留米
2012-03-29,高知
2012-03-29,川崎
2012-03-29,防府
2012-03-29,岐阜
2012-03-29,福井
2012-03-30,久留米
2012-03-30,川崎
2012-03-30,伊東
2012-03-30,岐阜
2012-03-30,別府
2012-03-30,福井
2012-03-30,防府
2012-03-30,高知
2012-03-31,福井
2012-03-31,別府
2012-04-03,防府
2012-04-03,四日市
2012-04-03,福井
2012-04-03,奈良
2012-04-03,武雄
2012-04-03,大垣
2012-04-04,福井
2012-04-04,武雄
2012-04-04,大垣
2012-04-04,防府
2012-04-04,奈良
2012-04-04,四日市
2012-04-05,大垣
2012-04-05,四日市
2012-04-05,前橋
2012-04-05,武雄
2012-04-05,川崎
2012-04-05,福井
2012-04-05,奈良
2012-04-05,防府
2012-04-06,川崎
2012-04-06,前橋
2012-04-06,四日市
2012-04-07,川崎
2012-04-07,小倉
2012-04-07,前橋
2012-04-08,広島
2012-04-08,川崎
2012-04-08,松阪
2012-04-08,小倉
2012-04-09,松阪
2012-04-09,玉野
2012-04-09,小倉
2012-04-09,平塚
2012-04-09,岸和田
2012-04-09,広島
2012-04-09,熊本
2012-04-10,玉野
2012-04-10,松阪
2012-04-10,岸和田
2012-04-10,広島
2012-04-10,熊本
2012-04-10,平塚
2012-04-10,一宮
2012-04-11,熊本
2012-04-11,玉野
2012-04-11,岸和田
2012-04-11,平塚
2012-04-11,一宮
2012-04-12,いわき平
2012-04-12,高知
2012-04-12,一宮
2012-04-13,静岡
2012-04-13,高知
2012-04-13,いわき平
2012-04-13,小倉
2012-04-14,小倉
2012-04-14,いわき平
2012-04-14,高知
2012-04-14,静岡
2012-04-15,静岡
2012-04-15,高知
2012-04-15,岸和田
2012-04-16,松山
2012-04-16,岸和田
2012-04-16,松阪
2012-04-16,久留米
2012-04-16,防府
2012-04-16,一宮
2012-04-17,松阪
2012-04-17,久留米
2012-04-17,岸和田
2012-04-17,松山
2012-04-17,防府
2012-04-17,一宮
2012-04-18,防府
2012-04-18,松山
2012-04-18,久留米
2012-04-18,一宮
2012-04-18,松阪
2012-04-19,平塚
2012-04-19,武雄
2012-04-19,前橋
2012-04-20,平塚
2012-04-20,武雄
2012-04-20,前橋
2012-04-20,函館
2012-04-21,武雄
2012-04-21,平塚
2012-04-21,函館
2012-04-22,武雄
2012-04-22,函館
2012-04-23,岐阜
2012-04-23,久留米
2012-04-23,松山
2012-04-24,広島
2012-04-24,松山
2012-04-24,別府
2012-04-24,和歌山
2012-04-24,高知
2012-04-24,岐阜
2012-04-24,四日市
2012-04-24,久留米
2012-04-25,久留米
2012-04-25,別府
