date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20230506,13,1,1,5,,,,,12.7,逃げ,,B,2,1,,善方　政美
20230506,13,1,2,1,44,宮城県,A級3班,１／４車輪,12.6,マーク,S,,2,2,13753,阿部　　晃
20230506,13,1,3,3,,,,３／４車身,12.5,,,,2,3,,三上　隆幸
20230506,13,1,4,6,,,,１　　車身,12.5,,,,3,1,,進藤　浩行
20230506,13,1,5,7,48,新潟県,A級3班,４　　車身,13.0,,,,1,2,13320,村上　順規
20230506,13,1,6,4,43,埼玉県,A級2班,８　　車身,14.0,,,,1,1,14011,細沼　健治
20230506,13,1,欠,2,55,静岡県,A級3班,,,,,,1,3,12101,山城　光央
20230506,13,2,1,1,52,静岡県,A級3班,,11.9,差し,,,1,2,12885,田中　智也
20230506,13,2,2,7,39,福島県,A級3班,１／４車輪,11.7,マーク,,,2,1,14503,真船　拓磨
20230506,13,2,3,4,36,千葉県,A級3班,タイヤ差,12.1,,S,B,1,1,14379,角口　聖也
20230506,13,2,4,3,48,埼玉県,A級3班,１　　車輪,11.5,,,,2,3,13680,木村　健司
20230506,13,2,5,2,,,,１／２車身,11.6,,,,2,2,,高橋　　潤
20230506,13,2,6,5,47,栃木県,A級3班,２　　車身,11.6,,,,2,4,13541,高森　圭介
20230506,13,2,7,6,,,,大差,12.6,,,,1,3,,渋谷　征広
20230506,13,3,1,3,28,神奈川県,A級1班,,11.9,捲くり,,B,1,1,15618,高本　和也
20230506,13,3,2,1,46,千葉県,A級3班,１　　車身,11.9,マーク,S,,1,2,14381,吉澤　　賢
20230506,13,3,3,7,30,茨城県,A級3班,１車身１／２,11.9,,,,2,1,15419,黒滝　大翔
20230506,13,3,4,2,51,栃木県,A級1班,１　　車身,12.0,,,,2,2,12794,宇賀神浩幸
20230506,13,3,5,4,33,宮城県,A級2班,１車身１／２,12.0,,,,3,1,14986,三浦　　綾
20230506,13,3,6,6,43,福島県,A級3班,３　　車身,12.1,,,,3,2,13998,桂馬　将人
20230506,13,3,7,5,,,,３　　車身,12.8,,,,1,3,,清水　正人
20230506,13,4,1,7,23,東京都,A級1班,,11.4,捲くり,S,,1,1,15610,永井　哉多
20230506,13,4,2,5,40,青森県,A級3班,２　　車身,11.9,差し,,,3,2,14430,橋本　祐司
20230506,13,4,3,2,35,山形県,A級3班,１／４車輪,12.0,,,B,3,1,15158,猪野　泰介
20230506,13,4,4,6,,,,１／４車輪,11.7,,,,3,3,,盛田　将人
20230506,13,4,5,4,47,神奈川県,A級3班,３／４車身,11.7,,,,2,1,13770,宮下　　潤
20230506,13,4,6,1,57,東京都,A級3班,１車身１／２,11.7,,,,1,2,11790,廣川　貞治
20230506,13,4,7,3,47,群馬県,A級3班,３／４車輪,11.6,,,,1,3,13547,土屋　　宏
20230506,13,5,1,1,26,青森県,S級1班,,12.1,逃げ,S,B,1,1,15598,大川　　剛
20230506,13,5,2,5,52,北海道,A級3班,１車身１／２,12.2,マーク,,,1,2,12783,平澤　秀信
20230506,13,5,3,6,53,福島県,A級3班,１　　車身,12.2,,,,1,3,12559,相良　勝美
20230506,13,5,4,2,38,新潟県,A級2班,１　　車身,12.1,,,,3,2,14158,本間　慎吾
20230506,13,5,5,4,51,千葉県,A級2班,１　　車身,12.0,,,,2,2,13106,赤井　　学
20230506,13,5,6,3,41,神奈川県,A級3班,６　　車身,12.7,,,,2,1,15260,國井　裕樹
20230506,13,5,7,7,36,東京都,A級3班,２　　車身,13.0,,,,3,1,14662,櫻井　宏樹
20230506,13,6,1,6,22,神奈川県,L級1班,,12.4,捲くり,,B,1,1,15666,畠山ひすい
20230506,13,6,2,2,30,東京都,L級1班,１／４車輪,12.4,マーク,,,2,1,15082,高橋　朋恵
20230506,13,6,3,3,39,神奈川県,L級1班,３／４車身,12.3,,S,,5,1,15487,永塚　祐子
20230506,13,6,4,4,44,大阪府,L級1班,２　　車身,12.5,,,,3,1,15313,豊岡　英子
20230506,13,6,5,7,41,神奈川県,L級1班,１　　車身,12.5,,,,6,1,15489,保立　沙織
20230506,13,6,6,1,25,福島県,L級1班,３／４車輪,12.5,,,,4,1,15394,三森　彩桜
20230506,13,6,7,5,,,,１車身１／２,12.4,,,,7,1,,奥平　彩乃
20230506,13,7,1,4,30,埼玉県,L級1班,,11.5,捲くり,,,4,1,15218,太田　りゆ
20230506,13,7,2,2,26,東京都,L級1班,６　　車身,12.1,捲くり,,B,2,1,15672,松本　詩乃
20230506,13,7,3,5,35,愛知県,L級1班,４　　車身,12.3,,,,6,1,15147,佐々木恵理
20230506,13,7,4,3,27,埼玉県,L級1班,１車身１／２,12.3,,,,5,1,15579,川路　遥香
20230506,13,7,5,7,44,新潟県,L級1班,３／４車輪,12.2,,,,1,1,14905,加瀬加奈子
20230506,13,7,6,1,24,三重県,L級1班,１車身１／２,12.4,,,,3,1,15494,近澤　諒香
20230506,13,7,7,6,25,大阪府,L級1班,大差,13.4,,S,,7,1,15497,森内　愛香
20230506,13,8,1,2,40,滋賀県,A級2班,,11.5,差し,,,3,2,14093,窪田　陽介
20230506,13,8,2,6,27,大阪府,A級2班,１　　車身,11.8,捲くり,,,3,1,15189,山本　隼人
20230506,13,8,3,4,38,茨城県,A級2班,１車身１／２,11.8,,,,1,1,14805,吉田　元輝
20230506,13,8,4,1,51,神奈川県,A級2班,３／４車身,11.8,,,,3,3,12879,石井　　毅
20230506,13,8,5,5,60,神奈川県,A級3班,１　　車輪,11.7,,,,2,2,11364,遠澤　健二
20230506,13,8,6,7,49,埼玉県,A級2班,１／２車輪,11.8,,,,1,2,13175,峠　　祐介
20230506,13,8,7,3,45,北海道,A級2班,３／４車身,12.3,,S,B,2,1,13826,田原　大広
20230506,13,9,1,7,34,愛知県,A級1班,,12.1,差し,,,3,2,14699,小川　大地
20230506,13,9,2,1,44,福島県,A級1班,３／４車身,12.0,マーク,S,,1,1,14801,山本　恵介
20230506,13,9,3,4,45,静岡県,A級1班,１／２車身,12.0,,,,1,2,13859,荒木　伸哉
20230506,13,9,4,2,25,愛知県,A級1班,３／４車輪,12.4,,,B,3,1,15533,岩城　佑典
20230506,13,9,5,5,51,大阪府,A級3班,１／２車輪,11.8,,,,3,3,13128,梶原　秀庸
20230506,13,9,6,3,42,山梨県,A級2班,１／２車身,11.8,,,,2,1,14153,伊藤　太一
20230506,13,9,7,6,53,静岡県,A級3班,６　　車身,12.2,,,,1,3,12514,海野　敦男
20230506,13,10,1,2,28,千葉県,S級2班,,11.7,捲くり,,B,1,1,15352,原田　亮太
20230506,13,10,2,3,45,栃木県,A級1班,３　　車身,11.5,差し,,,3,1,13755,佐藤　悦夫
20230506,13,10,3,5,44,茨城県,S級2班,１／２車身,11.6,,,,4,2,14004,松永　　将
20230506,13,10,4,4,37,福島県,A級1班,１／２車身,11.8,,,,2,2,14440,渡辺　正光
20230506,13,10,5,1,26,福島県,A級2班,１／４車輪,11.8,,S,,2,1,15512,大高　彰馬
20230506,13,10,6,6,30,東京都,A級1班,１車身１／２,11.9,,,,4,1,14991,中島　将尊
20230506,13,10,7,7,35,千葉県,A級1班,４　　車身,12.4,,,,1,2,14818,田口　裕一
20230506,13,11,1,1,45,岐阜県,A級1班,,12.0,差し,,,1,3,13576,土岐　幹多
20230506,13,11,2,5,40,千葉県,A級2班,３／４車身,11.9,マーク,,,3,1,14816,齋藤　宗徳
20230506,13,11,3,4,39,福島県,A級2班,１／８車輪,12.3,,,B,2,1,15159,坂本　拓也
20230506,13,11,4,7,28,大阪府,A級1班,３／４車身,12.4,,,,1,1,15543,福元　啓太
20230506,13,11,5,3,37,静岡県,A級1班,１／４車輪,11.8,,S,,3,2,14532,柴田　竜史
20230506,13,11,6,2,46,福島県,A級2班,微差,12.3,,,,2,2,13915,坂口　卓士
20230506,13,11,7,6,41,岐阜県,A級2班,１／２車身,12.4,,,,1,2,14393,柴田　祐也
20230506,13,12,1,1,53,群馬県,A級1班,,11.7,差し,,,1,2,12417,須藤　直道
20230506,13,12,2,4,24,栃木県,A級1班,１／４車輪,11.8,捲くり,,,1,1,15424,中村　隆生
20230506,13,12,3,3,42,秋田県,A級1班,１　　車身,11.7,,,,2,2,13910,高橋　秀吉
20230506,13,12,4,5,44,群馬県,A級3班,１／２車身,11.7,,,,1,3,13839,若林　耕司
