date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20231116,35,1,1,2,27,千葉県,L級1班,,12.8,捲くり,S,,1,1,15760,五味田奈穂
20231116,35,1,2,1,39,静岡県,L級1班,３／４車身,12.8,マーク,,,3,1,14967,杉沢毛伊子
20231116,35,1,3,3,25,埼玉県,L級1班,１／２車身,12.7,,,,5,1,15397,新井　美菜
20231116,35,1,4,4,23,福岡県,L級1班,１車身１／２,12.7,,,,4,1,15577,本多　　優
20231116,35,1,5,5,41,神奈川県,L級1班,１　　車輪,13.4,,,B,6,1,15489,保立　沙織
20231116,35,1,6,7,28,東京都,L級1班,１　　車輪,13.2,,,,2,1,15758,熊谷　碩子
20231116,35,1,7,6,29,岡山県,L級1班,３／４車輪,13.4,,,,7,1,15078,三宅　玲奈
20231116,35,2,1,2,51,神奈川県,A級2班,,11.4,差し,,,1,2,12879,石井　　毅
20231116,35,2,2,1,53,岡山県,A級1班,１／８車輪,12.1,差し,S,,2,2,12380,近藤　修康
20231116,35,2,3,7,34,宮城県,A級3班,３／４車身,11.9,,,,3,1,14713,鈴木　裕斗
20231116,35,2,4,5,41,広島県,A級2班,１　　車輪,12.3,,,B,2,1,14183,隅田　幸助
20231116,35,2,5,6,38,青森県,A級2班,１／４車輪,11.8,,,,3,2,14278,白川　将太
20231116,35,2,6,3,48,千葉県,A級3班,微差,11.6,,,,1,1,13629,福森慎太郎
20231116,35,2,7,4,54,神奈川県,A級3班,３／４車身,11.5,,,,1,3,12656,柴田　　健
20231116,35,3,1,1,29,北海道,A級2班,,12.3,捲くり,,B,1,1,15293,中里福太郎
20231116,35,3,2,2,38,茨城県,A級2班,１／２車身,12.2,マーク,,,1,2,14365,薮田　貴幸
20231116,35,3,3,4,38,静岡県,A級2班,１／２車身,12.1,,,,2,1,14243,齊藤　健人
20231116,35,3,4,3,45,静岡県,A級1班,１／２車身,12.0,,S,,2,2,14304,大竹　哲也
20231116,35,3,5,6,,,,２　　車身,12.1,,,,3,2,,仲山　　桂
20231116,35,3,6,5,51,徳島県,A級2班,２　　車身,12.2,,,,3,3,13061,小磯　知也
20231116,35,3,7,7,27,福岡県,A級2班,１　　車身,12.7,,,,3,1,15558,川野　　深
20231116,35,4,1,2,26,福島県,S級2班,,11.9,差し,,,1,2,15330,伊藤　　奎
20231116,35,4,2,1,43,北海道,A級1班,３／４車輪,12.0,捲くり,S,B,1,1,13980,森田　康嗣
20231116,35,4,3,3,45,神奈川県,A級2班,２　　車身,11.9,,,,2,2,14021,森川　　剛
20231116,35,4,4,5,53,静岡県,A級3班,３　　車身,12.1,,,,2,3,12966,石川　英昭
20231116,35,4,5,4,46,徳島県,A級3班,１車身１／２,12.2,,,,3,2,13964,高田　大輔
20231116,35,4,5,4,35,岡山県,A級2班,１車身１／２,12.2,,,,3,2,14693,高田　大輔
20231116,35,4,6,6,46,愛媛県,A級2班,６　　車身,12.8,,,,3,1,13742,葛西雄太郎
20231116,35,4,7,7,40,神奈川県,A級3班,６　　車身,13.6,,,,2,1,14463,久保　将史
20231116,35,5,1,3,41,福岡県,A級1班,,12.2,差し,,,2,2,14333,阿部　兼士
20231116,35,5,2,1,42,千葉県,A級1班,微差,12.5,差し,S,,1,2,14296,佐藤　清之
20231116,35,5,3,5,40,愛媛県,A級1班,１　　車輪,12.1,,,,2,3,14332,芳野　　匠
20231116,35,5,4,4,29,静岡県,A級2班,３／４車身,12.8,,,B,1,1,15100,渡邊　颯太
20231116,35,5,5,2,27,福岡県,A級1班,１／２車輪,12.4,,,,2,1,15556,上野　恭哉
20231116,35,5,6,6,38,群馬県,A級2班,３／４車身,12.1,,,,1,4,14223,瀧野　勝太
20231116,35,5,7,7,56,神奈川県,A級3班,９　　車身,12.8,,,,1,3,12509,岡嵜　浩一
20231116,35,6,1,1,28,熊本県,S級2班,,11.5,捲くり,,,1,1,15570,松本　憲斗
20231116,35,6,2,5,49,静岡県,A級2班,８　　車身,12.0,差し,,,1,3,12970,山内　大作
20231116,35,6,3,3,48,神奈川県,A級1班,３／４車身,12.2,,,,1,2,13253,柴田功一郎
20231116,35,6,4,6,51,青森県,A級2班,３／４車輪,12.1,,,,3,1,13006,佐々木健司
