date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20230405,22,1,1,2,,,,,10.1,差し,,,1,1,,廣木　まこ
20230405,22,1,2,1,35,栃木県,L級1班,１／２車輪,10.4,捲くり,,,2,1,14895,荒牧　聖未
20230405,22,1,3,4,23,福岡県,L級1班,３　　車身,10.6,,,B,4,1,15592,内野　艶和
20230405,22,1,4,6,26,静岡県,L級1班,３／４車身,10.6,,,,6,1,15674,野寺　　楓
20230405,22,1,5,5,26,静岡県,L級1班,１車身１／２,10.8,,,,5,1,15401,清水　彩那
20230405,22,1,6,3,29,長野県,L級1班,１　　車身,10.8,,,,3,1,15141,黒河内由実
20230405,22,1,7,7,44,山梨県,L級1班,１／４車輪,10.6,,,,7,1,14904,渡辺ゆかり
20230405,22,2,1,1,27,福岡県,L級1班,,10.0,捲くり,,B,1,1,15231,大久保花梨
20230405,22,2,2,2,35,千葉県,L級1班,５　　車身,10.3,逃げ,,,3,1,14966,田中　まい
20230405,22,2,3,4,25,福島県,L級1班,１　　車身,10.4,,,,4,1,15402,鈴木　樹里
20230405,22,2,4,3,30,東京都,L級1班,１／８車輪,10.4,,,,2,1,15082,高橋　朋恵
20230405,22,2,5,6,29,山口県,L級1班,１／２車輪,10.3,,,,5,1,15591,松本ちひろ
20230405,22,2,6,7,37,愛媛県,L級1班,４　　車身,10.5,,,,7,1,14924,松尾　智佳
20230405,22,2,7,5,25,北海道,L級1班,３　　車身,10.9,,,,6,1,15573,蛯原　杏奈
20230405,22,3,1,1,33,長崎県,A級2班,,10.0,捲くり,,,2,1,15238,井寺　亮太
20230405,22,3,2,5,47,岡山県,A級2班,１／２車身,10.0,マーク,,,2,2,13646,日浅　保幸
20230405,22,3,3,7,39,神奈川県,A級3班,５　　車身,10.3,,,,4,1,14932,浦野　慈生
20230405,22,3,4,2,43,宮城県,A級1班,１車身１／２,10.2,,,,1,1,14280,井上　公利
20230405,22,3,5,6,50,福島県,A級3班,１車身１／２,10.1,,,,1,2,13161,齋藤　和也
20230405,22,3,6,4,42,埼玉県,A級2班,２　　車身,11.0,,,,3,2,14069,渡邊　政幸
20230405,22,3,7,3,36,埼玉県,A級3班,３　　車身,11.4,,,B,3,1,14992,楠野　史尭
20230405,22,4,1,1,31,静岡県,A級2班,,9.8,捲くり,S,B,1,1,14937,田中　誇士
20230405,22,4,2,7,36,神奈川県,A級2班,１　　車身,9.7,マーク,,,1,2,14994,野口　修平
20230405,22,4,3,3,44,北海道,A級2班,４　　車身,10.0,,,,2,1,13979,竹内　優也
20230405,22,4,4,2,44,福島県,A級2班,１　　車身,10.0,,,,2,2,13914,小谷田公則
20230405,22,4,5,6,45,山梨県,A級3班,１／２車身,9.9,,,,3,1,14735,今村　俊雄
20230405,22,4,6,5,43,福岡県,A級2班,１車身１／２,9.9,,,,4,2,13893,片山　直人
20230405,22,4,7,4,37,岡山県,A級2班,大差,11.6,,,,4,1,14615,藤原　亮太
20230405,22,5,1,5,37,佐賀県,A級2班,,9.9,逃げ,,B,1,1,14267,一ノ瀬　匠
20230405,22,5,2,1,51,徳島県,A級2班,１／４車輪,9.8,マーク,,,1,2,12913,増田　鉄男
20230405,22,5,3,2,52,静岡県,A級1班,３　　車身,10.0,,,,2,1,12590,山崎　敦雄
20230405,22,5,4,6,50,徳島県,A級2班,３／４車身,10.0,,,,1,3,12844,米澤　大輔
20230405,22,5,5,7,39,栃木県,A級3班,大差,10.7,,,,4,1,14808,村上　貴彦
20230405,22,5,落,3,50,茨城県,A級3班,,,,S,,4,2,13610,土屋　　仁
20230405,22,5,落,4,49,静岡県,A級2班,,,,,,3,1,13112,佐藤　　明
20230405,22,6,1,5,44,長崎県,A級3班,,10.0,差し,,,4,2,13895,松尾　大樹
20230405,22,6,2,1,29,茨城県,A級1班,１／２車輪,10.1,逃げ,,B,1,1,15338,土田　栄二
20230405,22,6,3,3,41,北海道,A級2班,１　　車身,9.9,,,,2,1,14277,山口　慎吾
20230405,22,6,4,2,44,群馬県,A級3班,３／４車輪,9.8,,S,,1,2,13839,若林　耕司
20230405,22,6,5,4,50,新潟県,A級2班,１　　車輪,9.8,,,,1,3,13408,川村　昭弘
20230405,22,6,6,7,38,宮城県,A級3班,２　　車身,9.8,,,,3,1,14209,加美山隆行
20230405,22,6,7,6,46,長崎県,A級3班,１車身１／２,10.2,,,,4,1,14782,山口幸太郎
20230405,22,7,1,4,31,千葉県,A級1班,,9.7,逃げ,,B,3,1,15258,栗本　尚宗
20230405,22,7,2,3,26,埼玉県,S級2班,３　　車身,9.7,捲くり,,,1,1,15604,安彦　統賀
20230405,22,7,3,1,29,山梨県,S級2班,タイヤ差,9.6,,S,,1,2,15092,小林　　令
20230405,22,7,4,2,41,北海道,A級1班,４　　車身,9.8,,,,2,2,13901,山田　敦也
20230405,22,7,5,5,36,神奈川県,A級2班,３　　車身,10.1,,,,3,2,14933,奥原　　亨
20230405,22,7,6,6,52,栃木県,A級1班,３　　車身,10.2,,,,1,3,12861,小坂　敏之
20230405,22,7,7,7,28,青森県,A級3班,１車身１／２,10.7,,,,2,1,15506,佐藤　啓斗
20230405,22,8,1,1,33,青森県,S級2班,,9.9,捲くり,,B,1,1,14981,磯島　康祐
20230405,22,8,2,6,33,香川県,A級1班,１　　車輪,9.7,捲くり,,,2,1,14885,戸田　康平
20230405,22,8,3,2,41,香川県,S級2班,３／４車身,9.6,,,,2,2,14326,福島　栄一
20230405,22,8,4,5,38,岡山県,A級1班,１　　車身,9.6,,,,2,3,14321,石坂　永伍
20230405,22,8,5,3,24,東京都,S級2班,７　　車身,10.5,,,,3,1,15430,岡田　亮太
20230405,22,8,6,7,44,東京都,A級1班,１／２車輪,10.4,,,,3,2,14075,松根　　真
20230405,22,8,7,4,46,福島県,A級2班,１車身１／２,10.4,,S,,1,2,13915,坂口　卓士
20230405,22,9,1,1,27,山梨県,S級2班,,9.9,逃げ,S,B,1,1,15521,中島　詩音
