date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20220714,22,1,1,1,37,東京都,L級1班,,10.5,逃げ,,B,1,1,14962,石井　貴子
20220714,22,1,1,1,35,千葉県,L級1班,,10.5,逃げ,,B,1,1,15023,石井　貴子
20220714,22,1,2,2,28,愛知県,L級1班,１／２車身,10.3,差し,,,3,1,15149,中野　　咲
20220714,22,1,3,5,43,青森県,L級1班,１／４車輪,10.4,,,,5,1,15133,佐藤　友香
20220714,22,1,4,3,29,奈良県,L級1班,１／２車身,10.3,,,,2,1,15076,元砂七夕美
20220714,22,1,5,4,25,群馬県,L級1班,１車身１／２,10.1,,,,4,1,15396,神澤　瑛菜
20220714,22,1,6,6,48,埼玉県,L級1班,５　　車身,10.4,,,,6,1,14897,岡村　育子
20220714,22,1,7,7,,,,大差,11.2,,,,7,1,,奥平　彩乃
20220714,22,2,1,1,32,奈良県,L級1班,,9.8,逃げ,S,B,1,1,15312,日野　未来
20220714,22,2,2,2,26,東京都,L級1班,３　　車身,9.9,マーク,,,2,1,15672,松本　詩乃
20220714,22,2,3,5,23,愛知県,L級1班,大差,10.2,,,,4,1,15585,山本さくら
20220714,22,2,4,3,41,神奈川県,L級1班,３／４車身,10.2,,,,5,1,15489,保立　沙織
20220714,22,2,5,6,44,山梨県,L級1班,１　　車輪,10.1,,,,6,1,14904,渡辺ゆかり
20220714,22,2,6,4,25,埼玉県,L級1班,３／４車身,10.3,,,,3,1,15397,新井　美菜
20220714,22,2,7,7,,,,１／４車輪,10.1,,,,7,1,,堀田　萌那
20220714,22,3,1,4,53,広島県,A級2班,,10.1,捲くり,,,2,2,12757,市本　隆司
20220714,22,3,2,7,,,,３／４車身,10.0,マーク,,,2,3,,平坂　典也
20220714,22,3,3,2,42,新潟県,A級2班,１／２車輪,10.1,,,,1,2,14236,本田　拓也
20220714,22,3,4,1,36,群馬県,A級1班,１／２車輪,10.2,,,,1,1,14579,齋藤　一茂
20220714,22,3,5,5,,,,３／４車身,10.0,,,,1,3,,大久保　聡
20220714,22,3,6,6,53,佐賀県,A級3班,３／４車輪,10.0,,,,3,1,12626,原　　　司
20220714,22,3,7,3,,,,４　　車身,10.7,,,B,2,1,,中尾　　翔
20220714,22,4,1,6,30,北海道,A級2班,,9.9,逃げ,,B,1,1,15505,荻原　寿嗣
20220714,22,4,2,1,52,北海道,A級1班,１　　車身,9.8,マーク,,,1,2,12708,野木　義規
20220714,22,4,3,2,35,千葉県,A級1班,１　　車輪,9.7,,S,,1,3,14818,田口　裕一
20220714,22,4,4,7,46,愛媛県,A級3班,１／２車身,9.7,,,,3,1,14413,松本　充生
20220714,22,4,5,4,57,高知県,A級3班,３　　車身,9.8,,,,3,2,11847,赤松　誠一
20220714,22,4,6,3,41,神奈川県,A級2班,大差,10.4,,,,2,2,14743,鈴木　広人
20220714,22,4,7,5,36,秋田県,A級3班,１／２車身,10.5,,,,2,1,14798,三浦平志郎
20220714,22,5,1,5,54,神奈川県,A級3班,,10.1,捲くり,,,3,3,12656,柴田　　健
20220714,22,5,2,2,49,栃木県,A級2班,３／４車輪,10.5,差し,,,1,2,13613,宗景　祐樹
20220714,22,5,3,6,34,愛媛県,A級1班,１／２車身,10.7,,S,B,1,1,14850,岡田　啓渡
20220714,22,5,4,1,51,青森県,A級1班,微差,10.5,,,,2,1,12785,小橋　明紀
20220714,22,5,5,4,50,新潟県,A級2班,１　　車輪,10.3,,,,1,3,13408,川村　昭弘
20220714,22,5,6,7,49,福岡県,A級3班,６　　車身,10.7,,,,3,2,13366,加藤　昌平
20220714,22,5,7,3,38,福岡県,A級2班,大差,12.0,,,,3,1,14489,高鍋　邦彰
20220714,22,6,1,4,49,埼玉県,A級2班,,9.3,差し,S,,1,2,12955,太田　真一
20220714,22,6,2,1,41,福島県,A級2班,１／４車輪,9.5,逃げ,,B,1,1,14438,緑川　修平
20220714,22,6,3,2,49,埼玉県,A級2班,１　　車身,9.4,,,,1,3,13621,國廣　哲治
20220714,22,6,4,6,48,高知県,A級1班,１車身１／２,9.1,,,,2,3,13296,林　　明宏
20220714,22,6,5,5,57,高知県,A級2班,３／４車輪,9.3,,,,2,2,11734,濱口　健二
20220714,22,6,6,7,42,東京都,A級1班,１／２車輪,9.4,,,,3,1,14070,秋葉　大輔
20220714,22,6,7,3,43,岡山県,A級2班,５　　車身,9.7,,,,2,1,14404,岩本　　純
20220714,22,7,1,3,24,山口県,A級1班,,9.8,捲くり,,,3,1,15483,谷元　奎心
20220714,22,7,2,1,46,静岡県,A級1班,微差,9.9,捲くり,S,,1,2,13635,柏木　伸介
20220714,22,7,3,6,44,福岡県,A級2班,３／４車身,9.8,,,,3,2,13892,梶山裕次郎
20220714,22,7,4,4,48,神奈川県,A級1班,１　　車輪,9.9,,,,1,3,13253,柴田功一郎
20220714,22,7,5,5,36,静岡県,A級1班,２　　車身,10.3,,,B,1,1,14938,夏目　新吾
20220714,22,7,6,7,44,群馬県,A級3班,２　　車身,10.4,,,,2,2,13839,若林　耕司
20220714,22,7,7,2,31,埼玉県,S級2班,４　　車身,10.9,,,,2,1,15344,荒木　貴大
20220714,22,8,1,7,27,宮崎県,S級2班,,9.6,捲くり,,,1,1,15572,田村　　大
20220714,22,8,2,1,34,佐賀県,A級1班,１／４車輪,9.5,マーク,S,,1,2,14690,好永　　晃
20220714,22,8,3,6,37,愛媛県,A級2班,１／８車輪,9.4,,,,3,2,14887,板崎　佑矢
20220714,22,8,4,2,30,埼玉県,A級2班,３／４車輪,9.8,,,B,2,1,15244,植原　琢也
20220714,22,8,5,4,47,群馬県,A級3班,３／４車身,9.7,,,,2,2,13548,手島　志誠
20220714,22,8,6,5,38,福島県,A級2班,１／２車身,9.8,,,,4,1,14989,鈴木　　豪
20220714,22,8,欠,3,38,岡山県,A級1班,,,,,,3,1,15117,野崎　将史
20220714,22,9,1,4,28,長野県,S級2班,,9.9,逃げ,,B,1,1,15522,堀江　省吾
20220714,22,9,2,7,37,東京都,S級2班,１／２車身,9.8,マーク,S,,1,2,15250,今井　　聡
20220714,22,9,3,1,45,東京都,S級1班,１／２車身,9.7,,,,1,3,13967,岡本　大嗣
20220714,22,9,4,5,50,高知県,A級1班,６　　車身,10.3,,,,2,1,14778,宮崎　一彰
20220714,22,9,5,2,46,岡山県,A級1班,１　　車輪,10.1,,,,2,2,13885,柳谷　　崇
20220714,22,9,6,3,41,千葉県,A級2班,４　　車身,10.0,,,,3,2,14083,成清謙二郎
20220714,22,9,7,6,51,千葉県,A級2班,３／４車身,10.2,,,,3,1,13183,坂木田雄介
20220714,25,1,1,1,35,千葉県,A級3班,,14.9,捲くり,S,,1,1,14745,吉竹　雄城
20220714,25,1,2,7,38,北海道,A級3班,１／２車輪,15.3,逃げ,,B,3,1,14276,坂本　敏也
20220714,25,1,3,5,52,栃木県,A級3班,１／４車輪,15.1,,,,3,3,12638,栗原　稔貴
20220714,25,1,4,2,44,宮城県,A級3班,３／４車身,14.8,,,,2,2,13753,阿部　　晃
20220714,25,1,5,3,,,,１／２車輪,15.3,,,,3,2,,原野　　隆
20220714,25,1,6,6,50,千葉県,A級3班,３／４車身,15.0,,,,1,2,13415,山崎　明寛
20220714,25,1,7,4,39,福島県,A級3班,タイヤ差,15.1,,,,2,1,14503,真船　拓磨
20220714,25,2,1,1,,,,,15.2,差し,,,2,1,,二木　茂則
20220714,25,2,2,4,54,東京都,A級3班,３／４車身,15.1,マーク,,,2,2,12180,乙川　高徳
20220714,25,2,3,3,57,北海道,A級3班,１／２車輪,15.5,,,,3,2,12063,椿　　佳友
20220714,25,2,4,2,,,,微差,15.0,,S,,1,1,,黒川　将俊
20220714,25,2,5,5,,,,１車身１／２,15.7,,,B,3,1,,相馬　竹伸
20220714,25,2,6,7,,,,３／４車輪,15.6,,,,3,3,,吉田　雄三
20220714,25,2,7,6,,,,１　　車身,15.1,,,,1,2,,木村　　讓
20220714,25,3,1,4,30,神奈川県,S級2班,,15.2,逃げ,S,B,1,1,15616,齋藤　雄行
20220714,25,3,2,1,55,神奈川県,A級3班,１　　車身,15.2,マーク,,,1,2,12005,藤田　和彦
20220714,25,3,3,7,45,栃木県,A級3班,１／２車身,15.2,,,,1,3,13926,早坂　道義
20220714,25,3,4,3,54,栃木県,A級3班,３／４車身,15.0,,,,1,4,12346,宮原　貴之
20220714,25,3,5,2,50,山梨県,A級2班,１車身１／２,15.1,,,,2,2,12957,宮澤　　晃
20220714,25,3,6,6,48,新潟県,A級3班,２　　車身,15.2,,,,2,3,13320,村上　順規
