date,venue_id,race_no,rank,car_no,age,pref,grade,diff,last_time,finishing,s,b,line_id,line_pos,snum,name_kanji
20220212,28,1,1,1,,,,,13.0,差し,S,,1,2,,南雲　孝之
20220212,28,1,2,3,,,,３／４車輪,13.2,逃げ,,B,1,1,,市倉　孝良
20220212,28,1,3,4,,,,１／２車身,12.7,,,,2,1,,芝田　和之
20220212,28,1,4,2,47,宮城県,A級3班,１／２車輪,12.9,,,,3,1,13525,亀井　道佳
20220212,28,1,5,5,,,,１／２車輪,12.8,,,,3,2,,佐藤　隆二
20220212,28,2,1,1,62,栃木県,A級3班,,12.4,差し,,,1,2,11346,野崎　修一
20220212,28,2,2,5,52,新潟県,A級3班,３／４車身,12.3,差し,,,2,2,12650,笹川　竜治
20220212,28,2,3,4,52,青森県,A級3班,タイヤ差,12.6,,S,,3,1,13303,須々田大昇
20220212,28,2,4,2,41,群馬県,A級3班,１車身１／２,12.6,,,,2,1,14446,菅藤　　智
20220212,28,2,5,3,,,,４　　車身,13.3,,,B,1,1,,物部　国治
20220212,28,3,1,4,,,,,12.4,差し,,,2,3,,戸邉　裕将
20220212,28,3,2,2,,,,３／４車身,12.7,捲くり,,,2,1,,鈴木　　浩
20220212,28,3,3,3,57,北海道,A級3班,１／４車輪,12.7,,,,3,2,12063,椿　　佳友
20220212,28,3,4,7,56,長野県,A級3班,３／４車身,12.7,,,,2,2,11792,木下　　章
20220212,28,3,5,6,,,,１／２車輪,12.0,,,,1,2,,芦川　大雄
20220212,28,3,6,5,34,福島県,A級2班,１　　車身,13.1,,,B,3,1,14651,須永　勝太
20220212,28,3,7,1,43,静岡県,A級2班,１　　車身,12.5,,,,1,1,14389,村本　慎吾
20220212,28,4,1,4,,,,,12.4,差し,,,1,2,,白川　裕也
20220212,28,4,2,1,31,秋田県,A級2班,１／２車輪,12.5,逃げ,S,B,1,1,15156,門脇　　翼
20220212,28,4,3,6,35,福島県,A級3班,１／２車身,12.3,,,,1,3,14719,佐川　拓也
20220212,28,4,4,2,46,新潟県,A級3班,１／４車輪,12.0,,,,3,2,13692,佐野多喜男
20220212,28,4,5,5,42,山梨県,A級3班,１／８車輪,12.1,,,,3,1,13845,加賀美智史
20220212,28,4,6,3,46,埼玉県,A級3班,１車身１／２,12.0,,,,3,3,13684,吉橋　秀城
20220212,28,4,7,7,54,栃木県,A級3班,３　　車身,12.2,,,,2,1,12346,宮原　貴之
20220212,28,5,1,5,39,静岡県,L級1班,,13.1,捲くり,,,5,1,14967,杉沢毛伊子
20220212,28,5,2,4,28,大阪府,L級1班,３／４車身,13.1,マーク,,,4,1,15145,大谷　杏奈
20220212,28,5,3,3,25,北海道,L級1班,３／４車身,13.1,,,,3,1,15573,蛯原　杏奈
20220212,28,5,4,1,24,千葉県,L級1班,１車身１／２,13.4,,S,B,1,1,15581,刈込　奈那
20220212,28,5,5,2,29,奈良県,L級1班,２　　車身,13.5,,,,2,1,15076,元砂七夕美
20220212,28,6,1,4,47,宮城県,A級2班,,12.5,差し,,,2,2,13385,鎌田　　聡
20220212,28,6,2,3,38,群馬県,A級2班,１／２車身,12.3,捲くり,,,1,1,14369,中川　拓也
20220212,28,6,3,6,60,北海道,A級2班,３／４車輪,12.5,,,,2,3,11454,杉浦　康一
20220212,28,6,4,1,52,群馬県,A級2班,１／８車輪,12.3,,S,,1,2,12721,梅山　英樹
20220212,28,6,5,2,31,静岡県,A級3班,１／２車身,12.8,,,B,2,1,15175,桜井　大地
20220212,28,6,6,5,,,,１　　車身,12.4,,,,1,3,,井上　善裕
20220212,28,7,1,2,39,福島県,A級2班,,12.3,差し,S,,2,1,15159,坂本　拓也
20220212,28,7,2,1,49,千葉県,S級2班,１／２車身,12.6,差し,,,1,2,13465,春日　勇人
20220212,28,7,3,3,39,群馬県,A級2班,１／２車輪,12.2,,,,3,1,14064,吉松　賢二
20220212,28,7,4,6,48,福島県,A級3班,３／４車身,12.4,,,,2,2,13676,塚本　　諭
20220212,28,7,5,5,46,神奈川県,A級2班,３／４車身,12.9,,,B,1,1,13854,川田　　忍
20220212,28,7,6,7,57,埼玉県,A級3班,３／４車輪,12.1,,,,3,3,11875,神田　宏行
20220212,28,7,7,4,52,埼玉県,A級2班,３／４車身,12.4,,,,3,2,12956,鈴木　孝征
20220212,28,8,1,3,25,岩手県,S級2班,,11.2,捲くり,,,1,1,15596,中野　慎詞
20220212,28,8,2,4,25,福島県,A級2班,３／４車身,11.1,マーク,,,1,2,15515,平山　優太
20220212,28,8,3,6,55,静岡県,A級2班,３　　車身,11.6,,,,3,2,12439,河合　康晴
20220212,28,8,4,5,32,静岡県,A級1班,１／２車身,11.8,,,B,3,1,15531,深瀬　泰我
20220212,28,8,5,1,42,東京都,A級3班,３／４車身,11.6,,,,2,1,14072,伊藤　之人
20220212,28,8,6,2,49,千葉県,A級3班,１／４車輪,11.7,,,,3,3,13027,戸ノ下太郎
20220212,28,8,7,7,34,福島県,A級3班,４　　車身,11.5,,S,,1,3,14650,佐藤　裕輝
20220212,28,9,1,1,39,東京都,L級1班,,12.3,差し,,,1,1,14963,石井　寛子
20220212,28,9,2,6,,,,３／４車輪,12.4,捲くり,,,5,1,,山口　真未
20220212,28,9,3,4,42,神奈川県,L級1班,２　　車身,12.7,,,,6,1,15071,佐藤亜貴子
20220212,28,9,4,7,31,栃木県,L級1班,１／２車輪,12.4,,S,,7,1,15017,青木　美優
20220212,28,9,5,3,23,埼玉県,L級1班,３／４車身,13.0,,,B,3,1,15578,飯田　風音
20220212,28,9,6,2,26,愛知県,L級1班,３　　車身,12.8,,,,4,1,15491,當銘沙恵美
20220212,28,9,7,5,30,東京都,L級1班,３／４車身,12.9,,,,2,1,15082,高橋　朋恵
20220212,28,10,1,2,42,静岡県,A級1班,,12.0,差し,S,,2,2,14024,櫻井　　丈
20220212,28,10,2,1,39,山形県,A級2班,１／２車身,12.0,捲くり,,,1,1,14572,赤塚　悠人
20220212,28,10,3,7,41,福島県,A級1班,１／４車輪,11.8,,,,1,2,14439,山崎　　司
20220212,28,10,4,5,49,愛知県,A級1班,１　　車輪,11.7,,,,3,1,12971,小川　将人
20220212,28,10,5,6,49,千葉県,A級3班,１　　車輪,12.0,,,,2,3,13029,藤田　晃英
20220212,28,10,6,3,55,愛知県,A級2班,１　　車身,11.7,,,,3,2,12206,白井　一機
20220212,28,10,7,4,46,神奈川県,A級3班,２　　車身,12.5,,,B,2,1,13706,對馬　太陽
20220212,28,11,1,5,53,青森県,A級2班,,12.1,逃げ,S,B,3,1,12336,高谷　雅彦
20220212,28,11,2,3,40,青森県,A級2班,１　　車身,12.1,マーク,,,3,2,14125,坂本　昌宏
20220212,28,11,3,7,47,兵庫県,A級1班,１／４車輪,11.9,,,,2,2,13489,藤井　孝則
20220212,28,11,4,2,41,大阪府,A級1班,３／４車身,12.1,,,,2,1,14180,坂本　匡洋
20220212,28,11,5,1,48,埼玉県,A級2班,１／２車身,11.9,,,,1,2,13099,大橋　直人
20220212,28,11,6,4,28,東京都,S級1班,１／２車身,12.1,,,,1,1,15431,鈴木　玄人
20220212,28,11,7,6,52,栃木県,A級2班,３／４車身,11.9,,,,1,3,12719,篠崎　高志
20220212,28,12,1,1,33,東京都,A級1班,,12.5,差し,,,2,2,15165,寺沼　将彦
20220212,28,12,2,5,40,茨城県,A級1班,１／２車身,12.1,差し,,,1,3,14003,須賀　和彦
20220212,28,12,3,7,36,神奈川県,A級1班,１／２車身,12.5,,,,3,1,14867,巴　　直也
20220212,28,12,4,3,51,静岡県,S級2班,タイヤ差,12.3,,,,3,2,12887,新田　康仁
20220212,28,12,5,4,41,茨城県,S級2班,３／４車身,12.9,,,B,2,1,14457,北野　良栄
20220212,28,12,6,2,41,茨城県,A級1班,２　　車身,12.6,,,,1,2,14859,小林　申太
20220212,28,12,7,6,27,栃木県,A級1班,３　　車身,12.7,,,,1,1,15519,小池　千啓
20220212,31,1,1,1,47,神奈川県,A級2班,,10.2,捲くり,,,1,1,13567,吉原　友彦
20220212,31,1,2,2,43,宮城県,A級3班,１　　車身,10.3,差し,,,2,2,13906,太田　貴之
20220212,31,1,3,3,57,千葉県,A級3班,２　　車身,10.4,,S,,1,2,11599,和泉田喜一
20220212,31,1,4,4,33,宮城県,A級2班,３／４車身,10.8,,,,2,1,14986,三浦　　綾
20220212,31,1,5,6,,,,１／８車輪,10.3,,,,3,2,,植木　貴志
20220212,31,1,6,5,48,群馬県,A級3班,１／４車輪,11.0,,,B,3,1,13456,小林　和彦
20220212,31,2,1,1,43,埼玉県,A級3班,,10.5,差し,S,,1,2,14149,齋藤　和伸
20220212,31,2,2,2,27,新潟県,A級2班,１／２車身,10.7,逃げ,,B,1,1,15257,舟山　佑京
20220212,31,2,3,3,36,千葉県,A級3班,１／２車身,10.5,,,,2,1,14379,角口　聖也
20220212,31,2,4,4,50,千葉県,A級3班,３／４車輪,10.4,,,,2,2,13415,山崎　明寛
20220212,31,2,5,5,,,,４　　車身,10.3,,,,3,1,,善方　政美
20220212,31,2,6,6,,,,大差,,,,,3,2,,小塚　慎二
20220212,31,3,1,1,27,山梨県,S級2班,,10.3,逃げ,S,B,1,1,15521,中島　詩音
20220212,31,3,2,2,55,東京都,A級3班,１／２車輪,10.2,マーク,,,1,2,11994,藤光　健一
20220212,31,3,3,3,52,埼玉県,A級3班,１　　車身,10.2,,,,1,3,13174,古寺　伸洋
20220212,31,3,4,6,,,,３／４車身,10.2,,,,1,4,,木村　　讓
20220212,31,3,5,5,43,福島県,A級3班,１車身１／２,10.2,,,,2,2,13998,桂馬　将人
20220212,31,3,6,4,31,福島県,A級3班,大差,,,,,2,1,15087,本馬　　鎌
20220212,31,4,1,1,31,宮城県,A級1班,,10.3,逃げ,S,B,1,1,15507,上遠野拓馬
20220212,31,4,2,3,50,福島県,A級3班,１車身１／２,10.3,マーク,,,1,2,12938,鈴木　規純
20220212,31,4,3,2,48,長野県,A級2班,１　　車身,10.3,,,,2,1,13690,伊藤　大理
20220212,31,4,4,4,54,茨城県,A級3班,１／２車輪,10.2,,,,2,2,12556,落合　　豊
20220212,31,4,5,5,,,,２　　車身,10.2,,,,3,1,,武藤　貴志
20220212,31,4,6,6,,,,３／４車身,10.2,,,,3,2,,海野　　晃
20220212,31,4,7,7,,,,大差,,,,,2,3,,鈴木　祥高
20220212,31,5,1,1,42,新潟県,A級2班,,11.1,差し,S,,1,2,14155,佐藤　政利
20220212,31,5,2,5,45,山梨県,A級3班,１　　車輪,11.0,マーク,,,1,3,14735,今村　俊雄
20220212,31,5,3,6,43,群馬県,A級2班,１／４車輪,10.9,,,,1,4,14062,齋藤　昌弘
20220212,31,5,4,3,38,茨城県,A級2班,１　　車輪,11.3,,,B,1,1,14805,吉田　元輝
20220212,31,5,5,7,55,静岡県,A級3班,１車身１／２,10.9,,,,2,3,12101,山城　光央
20220212,31,5,6,4,54,静岡県,A級3班,５　　車身,11.5,,,,2,2,12824,梶原　亜湖
20220212,31,5,7,2,40,千葉県,A級3班,８　　車身,12.6,,,,2,1,14519,湯浅　大輔
20220212,31,6,1,2,29,静岡県,A級2班,,9.9,捲くり,,B,2,1,15100,渡邊　颯太
20220212,31,6,2,3,44,千葉県,A級1班,１　　車身,9.9,マーク,,,2,2,14079,江本　博明
20220212,31,6,3,7,51,千葉県,A級3班,１車身１／２,9.9,,,,2,3,12814,林　　邦彦
20220212,31,6,4,6,53,福島県,A級2班,３　　車身,10.3,,,,3,2,12937,十文字菊雄
20220212,31,6,5,5,57,東京都,A級3班,１車身１／２,10.2,,,,1,2,11790,廣川　貞治
20220212,31,6,6,4,49,岩手県,A級2班,１／８車輪,10.6,,,,3,1,13082,小泉　俊也
20220212,31,6,7,1,34,東京都,A級2班,１／２車身,10.4,,S,,1,1,15091,樋口　瑛土
20220212,31,7,1,1,53,群馬県,A級1班,,10.5,差し,,,1,2,12417,須藤　直道
20220212,31,7,2,2,25,栃木県,S級2班,３／４車身,10.7,逃げ,S,B,1,1,15342,福田　　滉
20220212,31,7,3,5,45,北海道,A級2班,１　　車輪,10.5,,,,3,1,13826,田原　大広
20220212,31,7,4,7,59,静岡県,A級3班,１／２車身,10.2,,,,2,3,11372,黒瀬　浩一
20220212,31,7,5,6,47,福島県,A級2班,１　　車身,10.5,,,,3,2,14282,石川　恭規
20220212,31,7,6,4,35,神奈川県,A級2班,３／４車身,10.7,,,,2,1,15048,志佐　　明
20220212,31,7,7,3,39,神奈川県,A級2班,大差,,,,,2,2,14382,伊藤　　翼
20220212,31,8,1,1,24,秋田県,A級1班,,10.7,逃げ,S,B,1,1,15510,田口　勇介
20220212,31,8,2,2,60,千葉県,A級1班,１／４車輪,10.6,マーク,,,1,2,11487,宮倉　　勇
20220212,31,8,3,5,41,千葉県,A級2班,３／４車身,10.6,,,,1,3,14014,須藤　雄太
20220212,31,8,4,3,44,群馬県,A級3班,１車身１／２,10.6,,,,2,2,13839,若林　耕司
20220212,31,8,5,6,48,栃木県,A級3班,３／４車身,10.4,,,,3,1,13399,塚本　勝士
20220212,31,8,6,7,57,栃木県,A級3班,１／２車身,10.7,,,,2,3,11574,坂本　英一
20220212,31,8,7,4,36,群馬県,A級1班,大差,,,,,2,1,14579,齋藤　一茂
20220212,31,9,1,5,48,埼玉県,A級1班,,9.8,差し,,,1,2,13555,台　　和紀
20220212,31,9,2,2,36,神奈川県,A級1班,タイヤ差,10.2,逃げ,,,2,1,15172,能代谷　元
20220212,31,9,3,6,39,福島県,A級2班,１／４車輪,10.1,,,,3,1,14353,宇佐見裕輝
20220212,31,9,4,1,41,茨城県,A級1班,１／２車輪,10.2,,,B,1,1,14858,小原　唯志
20220212,31,9,5,4,50,静岡県,S級2班,２　　車身,9.7,,,,2,2,12886,中井　達郎
20220212,31,9,6,7,37,青森県,A級2班,大差,,,,,3,3,14429,千澤　大輔
20220212,31,9,失,3,49,福島県,A級1班,,,,,,3,2,13535,平沼　由充
20220212,45,1,1,1,27,愛知県,A級3班,,12.6,差し,,,2,1,15355,磯村　蓮太
20220212,45,1,2,4,53,東京都,A級3班,１／４車輪,13.0,逃げ,,B,1,1,12725,浦山　一栄
20220212,45,1,3,5,53,愛知県,A級3班,１／４車輪,12.5,,,,2,2,13040,服部　竜二
20220212,45,1,4,6,,,,１／８車輪,12.9,,,,1,2,,小峰　一貴
20220212,45,1,5,3,42,大阪府,A級3班,３／４車身,12.5,,,,2,3,14609,高木　修二
20220212,45,1,6,2,41,埼玉県,A級2班,タイヤ差,12.8,,,,1,3,14496,天沼　雅貴
20220212,45,2,1,4,48,和歌山県,A級3班,,12.5,逃げ,,B,1,1,13205,千原　洋晋
20220212,45,2,2,2,,,,１／８車輪,12.3,マーク,,,1,2,,伊藤　文秋
20220212,45,2,3,1,57,北海道,A級3班,３／４車身,12.3,,S,,3,2,11766,齋藤　　明
20220212,45,2,4,3,50,新潟県,A級3班,１／２車輪,12.2,,,,2,1,13105,松本　一成
20220212,45,2,5,6,,,,１／２車身,12.1,,,,2,2,,鈴木　秀明
20220212,45,2,6,5,50,宮城県,A級3班,４　　車身,12.9,,,,3,1,13080,阿部　利光
20220212,45,3,1,2,47,静岡県,A級2班,,12.6,差し,,,1,2,13327,高橋　健太
20220212,45,3,2,7,28,青森県,A級3班,１　　車輪,12.7,逃げ,,B,1,1,15506,佐藤　啓斗
20220212,45,3,3,5,53,神奈川県,A級3班,３／４車身,12.6,,,,1,3,13186,永山　英司
20220212,45,3,4,1,,,,１／２車身,12.4,,,,2,2,,菊地　大輔
20220212,45,3,5,4,36,群馬県,A級3班,１／４車輪,12.5,,,,2,1,14447,三木　翔太
20220212,45,3,6,3,,,,５　　車身,12.7,,,,1,4,,後藤　純平
20220212,45,3,7,6,,,,大差,,,,,3,1,,山本　貴喜
20220212,45,4,1,5,42,愛知県,A級2班,,12.2,差し,,,1,2,14596,中村　賢二
20220212,45,4,2,1,28,大阪府,A級1班,３／４車輪,12.4,逃げ,S,B,1,1,15543,福元　啓太
20220212,45,4,3,7,40,神奈川県,A級3班,３　　車身,12.2,,,,2,1,14936,渡辺福太郎
20220212,45,4,4,2,53,神奈川県,A級3班,１／２車輪,12.1,,,,2,2,12583,岡崎　　徹
20220212,45,4,5,4,,,,１車身１／２,12.1,,,,1,3,,小坂　　勇
20220212,45,4,6,3,47,北海道,A級3班,２　　車身,12.1,,,,3,1,13378,小田桐義継
20220212,45,4,7,6,,,,大差,,,,,4,1,,高桑　由昇
20220212,45,5,1,4,25,愛知県,A級1班,,12.5,逃げ,,B,1,1,15533,岩城　佑典
20220212,45,5,2,1,58,三重県,A級3班,１／２車身,12.5,マーク,,,1,2,11622,杉山　正和
20220212,45,5,3,5,,,,１　　車身,12.3,,S,,2,1,,薮下　直輝
20220212,45,5,4,2,53,福島県,A級3班,３／４車身,12.2,,,,2,2,12559,相良　勝美
20220212,45,5,5,3,,,,３／４車身,12.2,,,,2,3,,高橋　　潤
20220212,45,5,6,7,,,,１　　車身,12.1,,,,1,3,,和田　信一
20220212,45,5,7,6,,,,１　　車身,12.1,,,,3,1,,岩田　幸久
20220212,45,6,1,7,35,栃木県,L級1班,,12.0,差し,,,2,1,14895,荒牧　聖未
20220212,45,6,2,5,45,埼玉県,L級1班,３／４車身,12.3,差し,,,3,1,15018,高橋　梨香
20220212,45,6,3,1,24,愛知県,L級1班,１／２車輪,12.4,,,B,4,1,15490,杉浦　菜留
20220212,45,6,4,6,29,岐阜県,L級1班,１／２車輪,12.0,,,,5,1,15150,宮地　寧々
20220212,45,6,5,2,24,神奈川県,L級1班,５　　車身,12.9,,,,1,1,15488,中村　美那
20220212,45,6,6,4,30,東京都,L級1班,９　　車身,12.9,,,,6,1,15140,鈴木　彩夏
20220212,45,6,7,3,25,大阪府,L級1班,５　　車身,13.1,,,,7,1,15497,森内　愛香
20220212,45,7,1,2,28,愛知県,L級1班,,12.5,差し,,,3,1,15308,當銘　直美
20220212,45,7,2,1,32,東京都,L級1班,３／４車輪,12.7,捲くり,,,2,1,14900,小林　莉子
20220212,45,7,3,3,,,,１車身１／２,12.5,,,,5,1,,白井美早子
20220212,45,7,4,4,35,神奈川県,L級1班,３／４車輪,12.8,,,,4,1,14959,奈良岡彩子
20220212,45,7,5,6,23,愛知県,L級1班,１　　車輪,12.9,,,B,1,1,15584,西脇美唯奈
20220212,45,7,6,7,25,福島県,L級1班,１車身１／２,12.6,,,,6,1,15394,三森　彩桜
20220212,45,7,7,5,48,埼玉県,L級1班,１車身１／２,12.7,,,,7,1,14897,岡村　育子
20220212,45,8,1,1,48,京都府,A級1班,,12.0,差し,,,1,2,13580,河村　章憲
20220212,45,8,2,7,33,和歌山県,A級2班,１／２車輪,12.2,逃げ,,B,1,1,15110,小出　慎也
20220212,45,8,3,4,55,愛知県,A級3班,１車身１／２,12.0,,,,1,3,12208,鰐渕　正利
20220212,45,8,4,6,,,,３／４車身,12.0,,,,3,1,,福間　　力
20220212,45,8,5,5,42,東京都,A級1班,１　　車身,12.0,,,,2,2,14070,秋葉　大輔
20220212,45,8,6,3,44,岩手県,A級3班,１車身１／２,12.0,,,,2,3,13905,藤原　義晴
20220212,45,8,7,2,33,山梨県,A級1班,３　　車身,12.6,,S,,2,1,14813,新井僚太郎
20220212,45,9,1,2,49,静岡県,A級1班,,12.0,差し,,,2,2,13036,深澤　伸介
20220212,45,9,2,5,30,埼玉県,A級2班,１　　車輪,12.3,逃げ,,B,1,1,15247,小玉　勇一
20220212,45,9,3,7,39,千葉県,A級2班,１／４車輪,12.2,,,,2,1,14297,田中　勝仁
20220212,45,9,4,4,40,宮城県,A級1班,１　　車輪,12.0,,,,3,1,14281,寺林　正秋
20220212,45,9,5,3,50,茨城県,A級2班,２　　車身,12.0,,,,1,2,12940,小室　貴広
20220212,45,9,6,1,48,三重県,A級3班,３／４車身,12.0,,,,4,1,13333,小西　誠也
20220212,45,9,7,6,51,栃木県,A級3班,３　　車身,12.1,,,,1,3,12795,黒田　　充
20220212,45,10,1,7,44,愛知県,A級1班,,12.0,差し,,,1,2,13862,鈴木　伸之
20220212,45,10,2,4,48,愛知県,A級2班,１／２車身,11.9,マーク,,,1,3,13477,宮司　周郎
20220212,45,10,3,1,24,岐阜県,S級2班,３／４車輪,12.2,,,B,1,1,15448,長屋　秀明
20220212,45,10,4,2,,,,１／２車輪,11.7,,,,3,2,,佐藤　　学
20220212,45,10,5,5,25,栃木県,A級3班,２　　車身,11.9,,,,3,1,15425,藤野　竜也
20220212,45,10,6,6,49,群馬県,A級2班,１／２車身,11.8,,,,3,3,12946,亀井　雅斗
20220212,45,10,7,3,48,大阪府,A級2班,１／８車輪,11.6,,,,2,1,13285,吉川　　悟
20220212,45,11,1,2,23,茨城県,S級2班,,12.3,逃げ,,B,1,1,15516,木村　皆斗
20220212,45,11,2,5,32,栃木県,A級1班,３／４車身,12.3,マーク,,,1,2,14862,坂本将太郎
20220212,45,11,3,3,41,群馬県,S級2班,１／２車身,12.2,,,,1,3,14065,鰐淵　圭佑
20220212,45,11,4,6,48,大阪府,A級1班,３／４車輪,12.1,,,,3,1,13131,藤野　一良
20220212,45,11,5,1,36,福島県,A級2班,２　　車身,12.2,,,,2,2,14354,大島　将人
20220212,45,11,6,7,39,北海道,A級3班,５　　車身,12.7,,S,,2,3,14437,玉木　英典
20220212,45,11,7,4,27,宮城県,A級3班,大差,14.2,,,,2,1,15155,三浦　大輝
20220212,45,12,1,3,41,静岡県,A級1班,,11.9,逃げ,,B,1,1,14086,齋藤　友幸
20220212,45,12,2,7,46,千葉県,A級1班,１／８車輪,11.8,マーク,,,1,2,13695,岡本　英之
20220212,45,12,3,5,35,福島県,A級1班,１／２車身,11.4,,,,3,1,14502,相笠　翔太
20220212,45,12,4,1,,,,１／２車身,11.7,,,,2,1,,牛山　貴広
20220212,45,12,5,6,31,岐阜県,A級1班,１　　車身,11.3,,,,4,1,15000,藤井　準也
20220212,45,12,6,4,44,秋田県,S級2班,３／４車身,11.4,,S,,3,2,13996,丸山　貴秀
20220212,45,12,7,2,57,愛知県,A級2班,５　　車身,11.7,,,,4,2,11619,疋田　　敏
20220212,53,1,1,4,31,熊本県,S級2班,,10.1,差し,,,4,1,15299,曽我　圭佑
20220212,53,1,2,2,40,福岡県,S級2班,１／４車輪,9.9,マーク,,,4,2,14956,小川　賢人
20220212,53,1,3,5,46,千葉県,S級2班,１　　車身,9.9,,,,2,2,13410,伊勢崎彰大
20220212,53,1,4,6,36,沖縄県,A級1班,１　　車身,10.5,,,B,3,1,14715,高橋　幸司
20220212,53,1,5,7,48,岐阜県,S級2班,１／８車輪,10.1,,,,1,2,13196,竹田　和幸
20220212,53,1,6,1,47,愛知県,A級1班,３　　車身,10.5,,S,,1,1,13570,加藤　寛治
20220212,53,1,7,3,30,静岡県,S級2班,３　　車身,10.7,,,,2,1,15173,格清　洋介
20220212,53,2,1,5,42,広島県,A級1班,,9.8,差し,,,4,1,13868,岡崎　景介
20220212,53,2,2,3,38,神奈川県,A級2班,１／２車身,9.6,マーク,,,3,1,14242,亀谷　隆一
20220212,53,2,3,2,35,岡山県,A級1班,１／８車輪,10.3,,,B,2,1,14679,小玉　拓真
20220212,53,2,4,4,44,茨城県,S級2班,１／２車輪,9.4,,,,1,3,14004,松永　　将
20220212,53,2,5,6,35,宮城県,A級1班,１　　車身,9.9,,,,5,1,14984,會澤　　龍
20220212,53,2,6,1,40,茨城県,A級1班,２　　車身,9.8,,S,,1,2,14053,鈴木謙太郎
20220212,53,2,7,7,37,群馬県,S級2班,７　　車身,10.5,,,,1,1,14728,三好恵一郎
20220212,53,3,1,1,32,奈良県,S級1班,,9.8,捲くり,S,B,1,1,14945,中井　俊亮
20220212,53,3,2,4,35,神奈川県,S級2班,７　　車身,10.2,捲くり,,,3,2,14592,小島　　歩
20220212,53,3,3,6,31,岡山県,S級2班,１車身１／２,10.6,,,,2,1,15059,畝木　　努
20220212,53,3,4,2,50,岡山県,A級1班,１／２車輪,10.5,,,,2,2,13497,藤田　昌宏
20220212,53,3,5,5,42,奈良県,A級2班,３／４車身,10.3,,,,1,2,14310,三谷　政史
20220212,53,3,6,7,43,愛媛県,A級1班,３／４車輪,10.5,,,,2,3,13968,越智　展孝
20220212,53,3,7,3,38,千葉県,S級2班,大差,12.0,,,,3,1,14461,山中　秀将
20220212,53,4,1,4,42,愛媛県,A級1班,,9.9,差し,,,3,2,14037,橋本　勝弘
20220212,53,4,2,5,42,神奈川県,S級1班,３／４車輪,10.3,差し,,,1,2,13945,福田　知也
20220212,53,4,3,3,54,長崎県,A級1班,３／４車身,9.9,,,,3,3,12628,阪本　正和
20220212,53,4,4,2,38,三重県,S級1班,１／２車輪,10.0,,,,2,1,14174,柴崎　　淳
20220212,53,4,5,8,39,栃木県,A級1班,３／４車輪,10.3,,,,1,3,14221,古川　尚耶
20220212,53,4,6,1,36,千葉県,S級2班,１　　車輪,10.7,,,B,1,1,14460,矢口　大樹
20220212,53,4,7,9,53,岐阜県,A級1班,３／４車輪,10.0,,,,2,2,12519,藤原　　誠
20220212,53,4,8,6,54,富山県,A級2班,３／４車身,9.8,,,,2,3,12598,大庭　正紀
20220212,53,4,9,7,41,愛媛県,A級1班,３／４車身,10.4,,S,,3,1,14954,日野　博幸
20220212,53,5,1,2,26,岡山県,S級1班,,10.1,逃げ,S,B,3,1,15373,晝田宗一郎
20220212,53,5,2,4,40,岡山県,A級1班,１／２車身,10.0,マーク,,,3,2,14614,高橋清太郎
20220212,53,5,3,8,54,徳島県,A級1班,１　　車身,10.0,,,,3,3,12474,小川　圭二
20220212,53,5,4,1,37,岐阜県,S級2班,１／２車身,9.9,,,,1,1,14754,横関　裕樹
20220212,53,5,5,7,48,愛知県,S級2班,１／２車輪,9.8,,,,1,2,13118,山内　卓也
