date,venue_id,venue_name,race_no,rank_within_race,car_no,name_kanji,predicted_rank
2025-06-08,11,函館,1,1,2,小林　高志,2.86
2025-06-08,11,函館,1,2,1,梶山　大輔,3.69
2025-06-08,11,函館,1,3,3,永山　英司,4.02
2025-06-08,11,函館,1,4,4,角口　聖也,4.23
2025-06-08,11,函館,1,5,5,安藤　雄一,4.71
2025-06-08,11,函館,1,6,6,田　　典幸,5.96
2025-06-08,11,函館,2,1,2,明星　晴道,2.26
2025-06-08,11,函館,2,2,3,藤原　義晴,2.49
2025-06-08,11,函館,2,3,5,志村　正洋,3.00
2025-06-08,11,函館,2,4,1,佐藤　裕輝,3.62
2025-06-08,11,函館,2,4,4,松木　竜也,3.62
2025-06-08,11,函館,2,6,6,鈴木龍之介,5.92
2025-06-08,11,函館,3,1,1,角　　宗哉,1.02
2025-06-08,11,函館,3,2,2,山口幸太郎,2.02
2025-06-08,11,函館,3,3,3,藤野　竜也,3.49
2025-06-08,11,函館,3,4,6,大澤　哉太,3.70
2025-06-08,11,函館,3,5,5,青木　亮太,3.90
2025-06-08,11,函館,3,6,4,邊見　祐太,4.88
2025-06-08,11,函館,3,7,7,玉木　英典,5.50
2025-06-08,11,函館,4,1,1,藤田　祐大,0.49
2025-06-08,11,函館,4,2,4,堀　　勝政,2.58
2025-06-08,11,函館,4,3,2,福田　健太,2.99
2025-06-08,11,函館,4,4,6,田崎良太郎,3.52
2025-06-08,11,函館,4,5,5,町田　勝志,3.54
2025-06-08,11,函館,4,6,7,塚本　　諭,4.66
2025-06-08,11,函館,4,7,3,望月裕一郎,4.75
2025-06-08,11,函館,5,1,5,大沼　孝行,3.42
2025-06-08,11,函館,5,2,2,安藤　宜明,3.76
2025-06-08,11,函館,5,3,3,深澤　伸介,3.89
2025-06-08,11,函館,5,4,4,川口　秀人,4.94
2025-06-08,11,函館,5,5,6,伊藤　一貴,5.80
2025-06-08,11,函館,5,6,7,森　　佑樹,5.98
2025-06-08,11,函館,5,7,1,郡　　英治,6.13
2025-06-08,11,函館,6,1,1,池田伍功羽,3.44
2025-06-08,11,函館,6,2,6,南部　亮太,3.99
2025-06-08,11,函館,6,3,2,山信田　学,4.93
2025-06-08,11,函館,6,4,3,大越　啓介,5.04
2025-06-08,11,函館,6,5,4,荻野　　哲,5.24
2025-06-08,11,函館,6,6,5,伊藤　彰規,5.50
2025-06-08,11,函館,6,7,7,鈴木　康平,5.90
2025-06-08,11,函館,7,1,1,八谷　誠賢,2.29
2025-06-08,11,函館,7,2,4,隅　　直幸,4.10
2025-06-08,11,函館,7,3,3,根本　雄紀,4.28
2025-06-08,11,函館,7,4,6,栗田　万生,4.59
2025-06-08,11,函館,7,5,7,白川　将太,4.88
2025-06-08,11,函館,7,6,2,小川　圭二,5.85
2025-06-08,11,函館,7,7,5,野間　　司,5.92
2025-06-08,11,函館,8,1,1,中村　隆生,2.91
2025-06-08,11,函館,8,2,5,大島　将人,3.74
2025-06-08,11,函館,8,3,4,中野光太郎,3.76
2025-06-08,11,函館,8,4,6,原岡泰志郎,3.81
2025-06-08,11,函館,8,5,7,阿部　英光,4.23
2025-06-08,11,函館,8,6,2,高橋　陽介,4.49
2025-06-08,11,函館,8,7,3,近藤　修康,5.26
2025-06-08,11,函館,9,1,1,小堀　敢太,1.62
2025-06-08,11,函館,9,2,6,井寺　亮太,3.37
2025-06-08,11,函館,9,3,3,野口　大誠,4.16
2025-06-08,11,函館,9,4,5,小林　圭介,4.41
2025-06-08,11,函館,9,5,2,中村弘之輔,4.45
2025-06-08,11,函館,9,6,4,高木　　翔,4.78
2025-06-08,11,函館,9,7,7,舟山　佑京,6.54
2025-06-08,34,川崎,1,1,1,横田　政直,2.26
2025-06-08,34,川崎,1,2,3,對馬　太陽,3.07
2025-06-08,34,川崎,1,3,2,黒田　　充,3.52
2025-06-08,34,川崎,1,4,4,佐川　拓也,3.95
2025-06-08,34,川崎,1,4,7,山城　光央,3.95
2025-06-08,34,川崎,1,6,5,浦野　慈生,4.50
2025-06-08,34,川崎,1,7,6,鈴木　規純,4.52
2025-06-08,34,川崎,2,1,4,伊藤　嘉浩,1.95
2025-06-08,34,川崎,2,2,2,田村　純一,2.16
2025-06-08,34,川崎,2,3,5,今村　俊雄,3.39
2025-06-08,34,川崎,2,4,1,井坂　泰誓,3.40
2025-06-08,34,川崎,2,5,6,長崎　達也,4.03
2025-06-08,34,川崎,2,6,7,郷坪　和博,4.48
2025-06-08,34,川崎,2,7,3,杉山　正和,4.49
2025-06-08,34,川崎,3,1,4,小林　和彦,1.55
2025-06-08,34,川崎,3,2,1,吉田　優斗,1.95
2025-06-08,34,川崎,3,3,2,前田　拓也,2.87
