date,venue_id,venue_name,race_no,rank_within_race,car_no,name_kanji,predicted_rank
2025-06-04,11,函館,1,1,5,金子　浩貴,2.30
2025-06-04,11,函館,1,2,1,飯塚　隼人,3.53
2025-06-04,11,函館,1,3,7,徳吉　広紀,4.08
2025-06-04,11,函館,1,4,3,小出　慎也,4.23
2025-06-04,11,函館,1,5,6,櫻井　利之,4.24
2025-06-04,11,函館,1,6,2,山口　慎吾,4.32
2025-06-04,11,函館,1,7,4,武田　良太,4.99
2025-06-04,11,函館,2,1,2,原井　剣也,2.78
2025-06-04,11,函館,2,2,4,渡邉　　満,2.80
2025-06-04,11,函館,2,3,3,岸川　哲也,3.71
2025-06-04,11,函館,2,4,5,高谷　敏史,4.49
2025-06-04,11,函館,2,5,6,山崎　光展,4.51
2025-06-04,11,函館,2,6,7,細川　貴史,4.77
2025-06-04,11,函館,2,7,1,米澤　大輔,4.81
2025-06-04,11,函館,3,1,5,岩崎　将士,3.02
2025-06-04,11,函館,3,2,7,成田　直喜,3.15
2025-06-04,11,函館,3,3,2,好永　　晃,3.23
2025-06-04,11,函館,3,4,4,松田　優一,3.25
2025-06-04,11,函館,3,5,3,上遠野拓馬,3.91
2025-06-04,11,函館,3,6,1,井上　　嵩,4.05
2025-06-04,11,函館,3,7,6,田中　和磨,5.74
2025-06-04,11,函館,4,1,1,龍野琳太郎,0.73
2025-06-04,11,函館,4,2,2,長谷部龍一,2.21
2025-06-04,11,函館,4,3,7,水谷　将司,3.58
2025-06-04,11,函館,4,4,4,櫻井　太士,3.88
2025-06-04,11,函館,4,5,5,野崎　　翼,3.97
2025-06-04,11,函館,4,6,6,大竹野裕樹,4.11
2025-06-04,11,函館,4,7,3,平山　優太,5.31
2025-06-04,11,函館,5,1,5,大森　慶一,3.04
2025-06-04,11,函館,5,2,1,五十嵐　綾,3.59
2025-06-04,11,函館,5,3,4,大瀬戸潤一,4.66
2025-06-04,11,函館,5,4,3,春日　勇人,5.05
2025-06-04,11,函館,5,5,2,畝木　　聖,5.31
2025-06-04,11,函館,6,1,5,山本　紳貴,3.95
2025-06-04,11,函館,6,2,3,佐伯　亮輔,4.48
2025-06-04,11,函館,6,3,4,寺崎　祐樹,4.87
2025-06-04,11,函館,6,4,1,小西　晴己,5.19
2025-06-04,11,函館,6,5,6,栗田　貴徳,5.45
2025-06-04,11,函館,6,6,2,青柳　靖起,6.09
2025-06-04,11,函館,7,1,3,高橋　昇平,3.82
2025-06-04,11,函館,7,2,2,坂上　樹大,4.30
2025-06-04,11,函館,7,3,5,岡田　亮太,5.07
2025-06-04,11,函館,7,4,1,一戸　康宏,5.30
2025-06-04,11,函館,7,5,6,曽我　圭佑,5.85
2025-06-04,11,函館,7,6,4,蒋野　翔太,6.33
2025-06-04,11,函館,8,1,7,板垣　　昴,2.91
2025-06-04,11,函館,8,2,4,吉本　卓仁,4.43
2025-06-04,11,函館,8,3,3,堀内　俊介,4.73
2025-06-04,11,函館,8,4,2,坂田　康季,5.08
2025-06-04,11,函館,8,5,1,後藤　　悠,5.32
2025-06-04,11,函館,8,6,5,大崎飛雄馬,5.98
2025-06-04,11,函館,8,7,6,山中　秀将,6.01
