date,venue_id,venue_name,race_no,rank_within_race,car_no,name_kanji,predicted_rank
2025-06-05,12,青森,1,1,4,入田　龍馬,0.75
2025-06-05,12,青森,1,2,1,小林　　健,3.19
2025-06-05,12,青森,1,3,2,渡邊　一洋,3.30
2025-06-05,12,青森,1,4,5,久保　将史,3.34
2025-06-05,12,青森,1,5,3,菊池　崇訓,3.44
2025-06-05,12,青森,1,6,7,住村　　実,4.85
2025-06-05,12,青森,1,7,6,赤石　　聡,5.80
2025-06-05,12,青森,2,1,2,伊藤　　司,1.25
2025-06-05,12,青森,2,2,5,法月　成祐,1.85
2025-06-05,12,青森,2,3,1,福森慎太郎,2.63
2025-06-05,12,青森,2,4,3,浜田　翔平,3.28
2025-06-05,12,青森,2,5,4,光岡　義洋,4.42
2025-06-05,12,青森,2,6,6,山田慎一郎,4.86
2025-06-05,12,青森,2,7,7,齋藤　　明,5.18
2025-06-05,12,青森,3,1,6,橋本　祐司,3.27
2025-06-05,12,青森,3,2,4,高田　大輔,3.95
2025-06-05,12,青森,3,3,5,西郷　　剛,3.96
2025-06-05,12,青森,3,4,2,松本　琢也,4.07
2025-06-05,12,青森,3,5,1,島田　茂希,4.14
2025-06-05,12,青森,3,6,3,近藤　直幹,4.67
2025-06-05,12,青森,3,7,7,岡崎　克政,4.68
2025-06-05,12,青森,4,1,7,秋末　　蓮,3.05
2025-06-05,12,青森,4,2,1,中井　　修,3.12
2025-06-05,12,青森,4,3,3,丸山　勝也,3.91
2025-06-05,12,青森,4,4,4,陶器　一馬,4.12
2025-06-05,12,青森,4,5,5,前島　恭平,4.52
2025-06-05,12,青森,4,6,2,村上　順規,4.53
2025-06-05,12,青森,4,7,6,木村　健司,6.42
2025-06-05,12,青森,5,1,4,小田　恭介,1.25
2025-06-05,12,青森,5,2,5,塚本　勝士,3.01
2025-06-05,12,青森,5,3,1,亀井　宏佳,3.58
2025-06-05,12,青森,5,4,2,吉田　英二,4.38
2025-06-05,12,青森,5,5,3,服部　竜二,4.40
2025-06-05,12,青森,5,6,6,千原　洋晋,4.87
2025-06-05,12,青森,5,7,7,相良　勝美,4.93
2025-06-05,12,青森,6,1,2,手島　志誠,2.60
2025-06-05,12,青森,6,2,5,澤亀　浩司,3.81
2025-06-05,12,青森,6,3,1,吉田　勇気,4.09
2025-06-05,12,青森,6,4,4,木幡　幸仁,4.24
2025-06-05,12,青森,6,5,7,近藤　圭佑,4.62
2025-06-05,12,青森,6,6,3,中野　　良,4.68
2025-06-05,12,青森,6,7,6,太田　貴之,5.27
2025-06-05,12,青森,7,1,1,岡部　陸斗,1.39
2025-06-05,12,青森,7,2,3,佐藤　正吾,3.39
2025-06-05,12,青森,7,3,2,米倉　剛志,4.67
2025-06-05,12,青森,7,4,5,吉澤　　賢,4.97
2025-06-05,12,青森,7,5,4,佐藤　純嘉,5.28
2025-06-05,12,青森,7,6,6,椿　　佳友,5.42
2025-06-05,12,青森,7,7,7,山崎　明寛,6.57
2025-06-05,22,前橋,1,1,1,日野　未来,1.64
2025-06-05,22,前橋,1,2,3,鈴木　彩夏,2.62
2025-06-05,22,前橋,1,3,4,東　　美月,3.85
2025-06-05,22,前橋,1,4,2,當銘沙恵美,4.35
2025-06-05,22,前橋,1,5,6,中川　諒子,4.99
2025-06-05,22,前橋,1,6,7,川田　ひな,5.27
2025-06-05,22,前橋,1,7,5,刈込　奈那,6.28
2025-06-05,22,前橋,2,1,1,奥井　　迪,1.00
2025-06-05,22,前橋,2,2,4,杉沢毛伊子,3.50
2025-06-05,22,前橋,2,3,2,村田　奈穂,3.52
2025-06-05,22,前橋,2,4,3,高木　佑真,5.11
2025-06-05,22,前橋,2,5,5,佐藤　乃愛,5.18
2025-06-05,22,前橋,2,6,6,中村　美那,6.42
2025-06-05,22,前橋,2,7,7,山本さくら,6.64
2025-06-05,22,前橋,3,1,2,畠山ひすい,1.70
2025-06-05,22,前橋,3,2,4,高木　萌那,1.80
2025-06-05,22,前橋,3,3,1,坂口　楓華,2.34
2025-06-05,22,前橋,3,4,5,平子　結菜,4.41
2025-06-05,22,前橋,3,5,3,小泉　夢菜,4.79
2025-06-05,22,前橋,3,6,6,熊谷　碩子,5.33
2025-06-05,22,前橋,3,7,7,神澤　瑛菜,6.27
2025-06-05,22,前橋,4,1,2,鈴木　謙二,3.34
2025-06-05,22,前橋,4,2,4,中野　真吾,3.69
2025-06-05,22,前橋,4,3,1,佐藤　　亙,3.93
2025-06-05,22,前橋,4,4,7,佐野　洋継,4.47
2025-06-05,22,前橋,4,5,3,坂本　昌宏,4.48
2025-06-05,22,前橋,4,6,5,荻原　寿嗣,5.01
2025-06-05,22,前橋,4,7,6,葛西雄太郎,5.79
