date,venue_id,venue_name,race_no,rank_within_race,car_no,name_kanji,predicted_rank
2025-06-11,21,弥彦,1,1,2,加瀬加奈子,2.95
2025-06-11,21,弥彦,1,2,3,長澤　　彩,2.96
2025-06-11,21,弥彦,1,3,1,太田　瑛美,3.31
2025-06-11,21,弥彦,1,4,4,小坂　知子,3.42
2025-06-11,21,弥彦,1,5,6,比嘉真梨代,5.85
2025-06-11,21,弥彦,1,6,5,安東　莉奈,6.01
2025-06-11,21,弥彦,1,7,7,佐伯　智恵,6.47
2025-06-11,21,弥彦,2,1,1,太田　りゆ,1.34
2025-06-11,21,弥彦,2,2,5,向井　　円,4.21
2025-06-11,21,弥彦,2,3,2,宇野　紅音,4.23
2025-06-11,21,弥彦,2,4,4,枝光　美奈,4.59
2025-06-11,21,弥彦,2,5,7,佐藤亜貴子,5.21
2025-06-11,21,弥彦,2,6,6,三森　彩桜,5.82
2025-06-11,21,弥彦,2,7,3,吉岡　詩織,6.05
2025-06-11,21,弥彦,3,1,5,柴田　竜史,3.07
2025-06-11,21,弥彦,3,2,3,金子　浩貴,3.47
2025-06-11,21,弥彦,3,3,1,飯尾　主税,3.52
2025-06-11,21,弥彦,3,4,2,山崎　敦雄,3.61
2025-06-11,21,弥彦,3,5,4,木本　賢二,3.82
2025-06-11,21,弥彦,3,6,6,黒崎　直行,4.11
2025-06-11,21,弥彦,3,7,7,南　　大輔,4.83
2025-06-11,21,弥彦,4,1,2,高峰　賢治,3.25
2025-06-11,21,弥彦,4,2,5,石井　　毅,4.07
2025-06-11,21,弥彦,4,3,4,戸塚　涼介,4.13
2025-06-11,21,弥彦,4,4,3,梅原　大治,4.19
2025-06-11,21,弥彦,4,5,6,森川　　剛,4.54
2025-06-11,21,弥彦,4,6,7,橋本　大祐,4.77
2025-06-11,21,弥彦,4,7,1,松山　桂輔,5.53
2025-06-11,21,弥彦,5,1,2,根藤　浩二,2.29
2025-06-11,21,弥彦,5,2,6,中込　健太,2.70
2025-06-11,21,弥彦,5,3,3,金子　兼久,3.53
2025-06-11,21,弥彦,5,4,1,佐藤譲士郎,4.43
2025-06-11,21,弥彦,5,5,4,會田　正一,4.45
2025-06-11,21,弥彦,5,6,5,齋藤　輝彦,4.74
2025-06-11,21,弥彦,5,7,7,本田　拓也,4.84
2025-06-11,21,弥彦,6,1,4,伊早坂駿一,1.65
2025-06-11,21,弥彦,6,2,2,平石　浩之,3.10
2025-06-11,21,弥彦,6,3,5,西　　　徹,3.37
2025-06-11,21,弥彦,6,4,1,石田　拓真,3.52
2025-06-11,21,弥彦,6,5,3,坂上　忠克,4.13
2025-06-11,21,弥彦,6,6,7,早川　成矢,4.59
2025-06-11,21,弥彦,6,7,6,前川　裕希,5.86
2025-06-11,21,弥彦,7,1,3,堀　　兼壽,1.92
2025-06-11,21,弥彦,7,2,4,成田　健児,3.12
2025-06-11,21,弥彦,7,3,2,渡辺　正光,3.27
2025-06-11,21,弥彦,7,4,1,平野　想真,3.53
2025-06-11,21,弥彦,7,5,6,小林　卓人,3.60
2025-06-11,21,弥彦,7,6,5,岡部　伶音,4.00
2025-06-11,21,弥彦,7,7,7,明田　春喜,4.73
2025-06-11,21,弥彦,8,1,5,佐々木吉徳,2.67
2025-06-11,21,弥彦,8,2,4,山崎　輝夫,3.94
2025-06-11,21,弥彦,8,3,2,古川　尚耶,4.64
2025-06-11,21,弥彦,8,4,3,櫻井　　丈,4.65
2025-06-11,21,弥彦,8,5,7,森田　康嗣,4.82
2025-06-11,21,弥彦,8,6,6,坪内　　恒,4.94
2025-06-11,21,弥彦,8,7,1,牧田　悠生,5.11
2025-06-11,21,弥彦,9,1,7,土田　栄二,2.23
2025-06-11,21,弥彦,9,2,2,小田倉勇二,2.88
2025-06-11,21,弥彦,9,3,1,鈴木　涼介,3.58
2025-06-11,21,弥彦,9,4,5,宝満　大作,3.71
2025-06-11,21,弥彦,9,5,4,泉　　慶輔,3.77
2025-06-11,21,弥彦,9,6,3,渡邊　　健,4.07
2025-06-11,21,弥彦,9,7,6,中武三四郎,4.67
2025-06-11,24,宇都宮,1,1,5,山中　崇弘,2.41
2025-06-11,24,宇都宮,1,2,1,小川　将人,3.86
2025-06-11,24,宇都宮,1,3,2,深井　高志,4.08
2025-06-11,24,宇都宮,1,4,7,西川　弘資,4.28
2025-06-11,24,宇都宮,1,5,4,隅田　幸助,4.59
2025-06-11,24,宇都宮,1,6,3,長野　和弘,4.66
2025-06-11,24,宇都宮,1,7,6,真崎　章徳,5.57
2025-06-11,24,宇都宮,2,1,5,藤野　一良,3.46
2025-06-11,24,宇都宮,2,2,1,相樂　　修,4.04
2025-06-11,24,宇都宮,2,3,2,鮒田　博文,4.16
2025-06-11,24,宇都宮,2,4,3,山崎　光展,4.57
2025-06-11,24,宇都宮,2,5,7,櫻川　雅彦,4.89
2025-06-11,24,宇都宮,2,6,6,中村敏之輔,5.58
2025-06-11,24,宇都宮,2,7,4,伊藤　　翼,6.31
2025-06-11,24,宇都宮,3,1,5,上川　直紀,1.58
2025-06-11,24,宇都宮,3,2,4,梅山　英樹,2.51
2025-06-11,24,宇都宮,3,3,1,近藤　寛央,2.90
2025-06-11,24,宇都宮,3,4,2,多田　晃紀,3.91
2025-06-11,24,宇都宮,3,5,6,勝部　貴博,4.13
2025-06-11,24,宇都宮,3,6,3,中里福太郎,4.19
2025-06-11,24,宇都宮,3,7,7,竹内　優也,4.90
2025-06-11,24,宇都宮,4,1,1,高本　和也,2.91
2025-06-11,24,宇都宮,4,2,5,小林　史也,3.04
2025-06-11,24,宇都宮,4,3,7,黒田　大介,3.58
2025-06-11,24,宇都宮,4,4,2,林　　昌幸,4.10
2025-06-11,24,宇都宮,4,5,3,土岐　幹多,4.38
2025-06-11,24,宇都宮,4,6,6,松根　　真,5.13
2025-06-11,24,宇都宮,4,7,4,金野　俊秋,5.47
2025-06-11,24,宇都宮,5,1,5,佐藤　真一,3.98
